pair_id,condition,generation,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-2-77e95a41482de376,ablate_after_g2,1,primary,0.796875,0.015625,0.0625,0.96875,0.78125,0.90625,0.78125,0.8828125,0.921875,1.0
fresh-2-77e95a41482de376,ablate_after_g2,1,terminal,0.703125,0.015625,0.109375,0.953125,0.6875,0.84375,0.6875,0.828125,0.890625,1.0
fresh-2-77e95a41482de376,ablate_after_g2,16,primary,0.46875,0.46875,0.3125,0.3125,0.0,0.0,0.0,0.390625,0.78125,1.0
fresh-2-77e95a41482de376,ablate_after_g2,16,terminal,0.28125,0.28125,0.3125,0.3125,0.0,0.0,0.0,0.296875,0.59375,1.0
fresh-2-77e95a41482de376,ablate_after_g2,2,primary,0.5,0.265625,0.21875,0.65625,0.234375,0.4375,0.234375,0.578125,0.8203125,1.0
fresh-2-77e95a41482de376,ablate_after_g2,2,terminal,0.453125,0.140625,0.25,0.671875,0.3125,0.421875,0.3125,0.5625,0.7578125,1.0
fresh-2-77e95a41482de376,ablate_after_g2,4,primary,0.40625,0.40625,0.34375,0.34375,0.0,0.0,0.0,0.375,0.75,1.0
fresh-2-77e95a41482de376,ablate_after_g2,4,terminal,0.3125,0.3125,0.375,0.375,0.0,0.0,0.0,0.34375,0.6875,1.0
fresh-2-77e95a41482de376,ablate_after_g2,8,primary,0.453125,0.453125,0.3125,0.3125,0.0,0.0,0.0,0.3828125,0.765625,1.0
fresh-2-77e95a41482de376,ablate_after_g2,8,terminal,0.421875,0.421875,0.34375,0.34375,0.0,0.0,0.0,0.3828125,0.765625,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,1,primary,0.796875,0.0,0.046875,0.9375,0.796875,0.890625,0.796875,0.8671875,0.890625,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,1,terminal,0.734375,0.0,0.078125,0.953125,0.734375,0.875,0.734375,0.84375,0.8828125,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,16,primary,0.265625,0.453125,0.359375,0.34375,-0.1875,-0.015625,-0.1875,0.3046875,0.7109375,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,16,terminal,0.234375,0.359375,0.40625,0.34375,-0.125,-0.0625,-0.125,0.2890625,0.671875,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,2,primary,0.53125,0.09375,0.234375,0.65625,0.4375,0.421875,0.421875,0.59375,0.7578125,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,2,terminal,0.46875,0.0625,0.21875,0.6875,0.40625,0.46875,0.40625,0.578125,0.71875,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,4,primary,0.4375,0.34375,0.328125,0.390625,0.09375,0.0625,0.0625,0.4140625,0.75,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,4,terminal,0.34375,0.3125,0.3125,0.421875,0.03125,0.109375,0.03125,0.3828125,0.6953125,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,8,primary,0.421875,0.40625,0.28125,0.25,0.015625,-0.03125,-0.03125,0.3359375,0.6796875,1.0
fresh-2-77e95a41482de376,carrier_corruption_1,8,terminal,0.375,0.296875,0.296875,0.265625,0.078125,-0.03125,-0.03125,0.3203125,0.6171875,1.0
fresh-2-77e95a41482de376,founder_write_disabled,1,primary,0.453125,0.453125,0.296875,0.296875,0.0,0.0,0.0,0.375,0.75,1.0
fresh-2-77e95a41482de376,founder_write_disabled,1,terminal,0.375,0.375,0.3125,0.3125,0.0,0.0,0.0,0.34375,0.6875,1.0
fresh-2-77e95a41482de376,founder_write_disabled,16,primary,0.46875,0.46875,0.234375,0.234375,0.0,0.0,0.0,0.3515625,0.703125,1.0
fresh-2-77e95a41482de376,founder_write_disabled,16,terminal,0.40625,0.40625,0.25,0.25,0.0,0.0,0.0,0.328125,0.65625,1.0
