pair_id,condition,generation,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
renewal-v2-0-03ec651db07aa063,ablate_after_g2,1,primary,0.640625,0.0,0.09375,1.0,0.640625,0.90625,0.640625,0.8203125,0.8671875,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,1,terminal,0.578125,0.0,0.109375,1.0,0.578125,0.890625,0.578125,0.7890625,0.84375,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,16,primary,0.46875,0.46875,0.4375,0.4375,0.0,0.0,0.0,0.453125,0.90625,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,16,terminal,0.453125,0.453125,0.46875,0.46875,0.0,0.0,0.0,0.4609375,0.921875,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,2,primary,0.671875,0.0,0.140625,0.953125,0.671875,0.8125,0.671875,0.8125,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,2,terminal,0.59375,0.0,0.1875,0.96875,0.59375,0.78125,0.59375,0.78125,0.875,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,4,primary,0.34375,0.34375,0.390625,0.390625,0.0,0.0,0.0,0.3671875,0.734375,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,4,terminal,0.28125,0.28125,0.421875,0.421875,0.0,0.0,0.0,0.3515625,0.703125,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,8,primary,0.53125,0.53125,0.40625,0.40625,0.0,0.0,0.0,0.46875,0.9375,1.0
renewal-v2-0-03ec651db07aa063,ablate_after_g2,8,terminal,0.515625,0.515625,0.421875,0.421875,0.0,0.0,0.0,0.46875,0.9375,1.0
renewal-v2-0-03ec651db07aa063,carrier_corruption_1,1,primary,0.796875,0.0,0.078125,1.0,0.796875,0.921875,0.796875,0.8984375,0.9375,1.0
renewal-v2-0-03ec651db07aa063,carrier_corruption_1,1,terminal,0.71875,0.0,0.09375,1.0,0.71875,0.90625,0.71875,0.859375,0.90625,1.0
renewal-v2-0-03ec651db07aa063,carrier_corruption_1,16,primary,0.609375,0.484375,0.25,0.359375,0.125,0.109375,0.109375,0.484375,0.8515625,1.0
renewal-v2-0-03ec651db07aa063,carrier_corruption_1,16,terminal,0.609375,0.453125,0.25,0.375,0.15625,0.125,0.125,0.4921875,0.84375,1.0
