pair_id,feature_kind,condition,generation,balanced_accuracy,opposite_rescue_branch
renewal-v2-0-03ec651db07aa063,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-03ec651db07aa063,carrier,intact,16,0.62890625,False
renewal-v2-0-03ec651db07aa063,carrier,no_rewrite,16,1.0,False
renewal-v2-0-03ec651db07aa063,carrier,read_disabled,16,0.0,False
renewal-v2-0-03ec651db07aa063,carrier,rescue_opposite_enter_g4,16,0.62890625,True
renewal-v2-0-03ec651db07aa063,carrier,rescue_same_enter_g4,16,0.62890625,False
renewal-v2-0-03ec651db07aa063,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-03ec651db07aa063,phenotype,intact,16,0.609375,False
renewal-v2-0-03ec651db07aa063,phenotype,no_rewrite,16,0.4921875,False
renewal-v2-0-03ec651db07aa063,phenotype,read_disabled,16,0.0,False
renewal-v2-0-03ec651db07aa063,phenotype,rescue_opposite_enter_g4,16,0.609375,True
renewal-v2-0-03ec651db07aa063,phenotype,rescue_same_enter_g4,16,0.609375,False
renewal-v2-3-0d99bcea4ae480c6,carrier,ablate_after_g2,16,0.0,False
renewal-v2-3-0d99bcea4ae480c6,carrier,intact,16,0.52734375,False
renewal-v2-3-0d99bcea4ae480c6,carrier,no_rewrite,16,1.0,False
renewal-v2-3-0d99bcea4ae480c6,carrier,read_disabled,16,0.0,False
renewal-v2-3-0d99bcea4ae480c6,carrier,rescue_opposite_enter_g4,16,0.52734375,True
renewal-v2-3-0d99bcea4ae480c6,carrier,rescue_same_enter_g4,16,0.52734375,False
renewal-v2-3-0d99bcea4ae480c6,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-0d99bcea4ae480c6,phenotype,intact,16,0.52734375,False
renewal-v2-3-0d99bcea4ae480c6,phenotype,no_rewrite,16,0.0,False
renewal-v2-3-0d99bcea4ae480c6,phenotype,read_disabled,16,0.0,False
renewal-v2-3-0d99bcea4ae480c6,phenotype,rescue_opposite_enter_g4,16,0.52734375,True
renewal-v2-3-0d99bcea4ae480c6,phenotype,rescue_same_enter_g4,16,0.52734375,False
renewal-v2-2-12bce13f4517a6af,carrier,ablate_after_g2,16,0.0,False
renewal-v2-2-12bce13f4517a6af,carrier,intact,16,0.6953125,False
renewal-v2-2-12bce13f4517a6af,carrier,no_rewrite,16,1.0,False
renewal-v2-2-12bce13f4517a6af,carrier,read_disabled,16,0.0,False
renewal-v2-2-12bce13f4517a6af,carrier,rescue_opposite_enter_g4,16,0.6953125,True
renewal-v2-2-12bce13f4517a6af,carrier,rescue_same_enter_g4,16,0.6953125,False
renewal-v2-2-12bce13f4517a6af,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-2-12bce13f4517a6af,phenotype,intact,16,0.63671875,False
renewal-v2-2-12bce13f4517a6af,phenotype,no_rewrite,16,0.5078125,False
renewal-v2-2-12bce13f4517a6af,phenotype,read_disabled,16,0.0,False
renewal-v2-2-12bce13f4517a6af,phenotype,rescue_opposite_enter_g4,16,0.63671875,True
renewal-v2-2-12bce13f4517a6af,phenotype,rescue_same_enter_g4,16,0.63671875,False
renewal-v2-0-4b2d9a945d88fc52,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-4b2d9a945d88fc52,carrier,intact,16,0.61328125,False
renewal-v2-0-4b2d9a945d88fc52,carrier,no_rewrite,16,1.0,False
renewal-v2-0-4b2d9a945d88fc52,carrier,read_disabled,16,0.0,False
renewal-v2-0-4b2d9a945d88fc52,carrier,rescue_opposite_enter_g4,16,0.61328125,True
renewal-v2-0-4b2d9a945d88fc52,carrier,rescue_same_enter_g4,16,0.61328125,False
renewal-v2-0-4b2d9a945d88fc52,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-4b2d9a945d88fc52,phenotype,intact,16,0.58984375,False
renewal-v2-0-4b2d9a945d88fc52,phenotype,no_rewrite,16,0.0,False
renewal-v2-0-4b2d9a945d88fc52,phenotype,read_disabled,16,0.0,False
renewal-v2-0-4b2d9a945d88fc52,phenotype,rescue_opposite_enter_g4,16,0.58984375,True
renewal-v2-0-4b2d9a945d88fc52,phenotype,rescue_same_enter_g4,16,0.58984375,False
renewal-v2-0-148d8cf4cd5bdc47,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-148d8cf4cd5bdc47,carrier,intact,16,0.6328125,False
renewal-v2-0-148d8cf4cd5bdc47,carrier,no_rewrite,16,1.0,False
renewal-v2-0-148d8cf4cd5bdc47,carrier,read_disabled,16,0.0,False
renewal-v2-0-148d8cf4cd5bdc47,carrier,rescue_opposite_enter_g4,16,0.6328125,True
renewal-v2-0-148d8cf4cd5bdc47,carrier,rescue_same_enter_g4,16,0.6328125,False
renewal-v2-0-148d8cf4cd5bdc47,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-148d8cf4cd5bdc47,phenotype,intact,16,0.62890625,False
renewal-v2-0-148d8cf4cd5bdc47,phenotype,no_rewrite,16,0.0,False
renewal-v2-0-148d8cf4cd5bdc47,phenotype,read_disabled,16,0.0,False
renewal-v2-0-148d8cf4cd5bdc47,phenotype,rescue_opposite_enter_g4,16,0.62890625,True
renewal-v2-0-148d8cf4cd5bdc47,phenotype,rescue_same_enter_g4,16,0.62890625,False
renewal-v2-3-2ec374806ca8c0bc,carrier,ablate_after_g2,16,0.0,False
renewal-v2-3-2ec374806ca8c0bc,carrier,intact,16,0.60546875,False
renewal-v2-3-2ec374806ca8c0bc,carrier,no_rewrite,16,1.0,False
renewal-v2-3-2ec374806ca8c0bc,carrier,read_disabled,16,0.0,False
renewal-v2-3-2ec374806ca8c0bc,carrier,rescue_opposite_enter_g4,16,0.60546875,True
renewal-v2-3-2ec374806ca8c0bc,carrier,rescue_same_enter_g4,16,0.60546875,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,intact,16,0.640625,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,no_rewrite,16,0.51171875,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,read_disabled,16,0.0,False
renewal-v2-3-2ec374806ca8c0bc,phenotype,rescue_opposite_enter_g4,16,0.640625,True
renewal-v2-3-2ec374806ca8c0bc,phenotype,rescue_same_enter_g4,16,0.640625,False
