ambiguous_boundaries,completed_boundaries,model,occupancy_exceeded,parameter_key,passed,seed_index,total_updates
1,0,evoloop,False,"n=16,imm=0",False,0,419
1,1,evoloop,False,"n=16,imm=0",False,1,926
1,1,evoloop,False,"n=16,imm=0",False,2,925
1,0,evoloop,False,"n=16,imm=0",False,3,391
1,0,evoloop,False,"n=16,imm=0",False,4,573
0,1,evoloop,False,"n=16,imm=0",False,5,877
0,1,evoloop,False,"n=16,imm=0",False,6,989
1,0,evoloop,False,"n=16,imm=0",False,7,365
1,1,evoloop,False,"n=16,imm=0",False,8,805
0,0,evoloop,False,"n=16,imm=0",False,9,108
1,0,evoloop,False,"n=16,imm=0",False,10,225
1,1,evoloop,False,"n=16,imm=0",False,11,858
0,0,evoloop,False,"n=16,imm=0",False,12,104
1,1,evoloop,False,"n=16,imm=0",False,13,1190
1,1,evoloop,False,"n=16,imm=0",False,14,805
0,0,evoloop,False,"n=16,imm=0",False,15,136
1,1,evoloop,False,"n=16,imm=0.25",False,0,899
1,1,evoloop,False,"n=16,imm=0.25",False,1,1004
1,0,evoloop,False,"n=16,imm=0.25",False,2,569
1,0,evoloop,False,"n=16,imm=0.25",False,3,608
1,0,evoloop,False,"n=16,imm=0.25",False,4,601
1,0,evoloop,False,"n=16,imm=0.25",False,5,543
0,0,evoloop,False,"n=16,imm=0.25",False,6,120
0,2,evoloop,False,"n=16,imm=0.25",False,7,1466
0,1,evoloop,False,"n=16,imm=0.25",False,8,749
0,2,evoloop,False,"n=16,imm=0.25",False,9,1331
1,0,evoloop,False,"n=16,imm=0.25",False,10,596
0,0,evoloop,False,"n=16,imm=0.25",False,11,40
1,0,evoloop,False,"n=16,imm=0.25",False,12,597
0,0,evoloop,False,"n=16,imm=0.25",False,13,676
1,0,evoloop,False,"n=16,imm=0.25",False,14,399
1,0,evoloop,False,"n=16,imm=0.25",False,15,229
0,1,evoloop,False,"n=16,imm=0.5",False,0,897
0,1,evoloop,False,"n=16,imm=0.5",False,1,1097
0,1,evoloop,False,"n=16,imm=0.5",False,2,1105
1,1,evoloop,False,"n=16,imm=0.5",False,3,899
1,0,evoloop,False,"n=16,imm=0.5",False,4,415
1,1,evoloop,False,"n=16,imm=0.5",False,5,878
1,1,evoloop,False,"n=16,imm=0.5",False,6,1041
0,2,evoloop,False,"n=16,imm=0.5",False,7,1358
1,0,evoloop,False,"n=16,imm=0.5",False,8,608
