candidate,matrix_id,residence_length,start_support,durable_support,separation,residence_episodes,coherent_clusters,stable_forms,distinct_stable_forms,literal_rule_survives
02,11,8,8,4,0.85,123,3,2,2,True
02,88,8,8,4,0.85,11,1,0,0,False
02,110,8,8,4,0.85,79,1,1,1,False
02,179,8,8,4,0.85,752,9,5,1,False
02,23,8,8,4,0.85,19,4,0,0,False
02,17,8,8,4,0.85,69,2,1,1,False
02,54,8,8,4,0.85,415,13,5,2,True
02,132,8,8,4,0.85,262,3,1,1,False
02,196,8,8,4,0.85,148,6,2,1,False
02,158,8,8,4,0.85,252,4,2,1,False
02,10,8,8,4,0.85,101,5,1,1,False
02,90,8,8,4,0.85,162,4,2,1,False
02,32,8,8,4,0.85,12,2,0,0,False
02,45,8,8,4,0.85,65,6,0,0,False
02,28,8,8,4,0.85,7,1,0,0,False
02,159,8,8,4,0.85,60,3,1,1,False
02,149,8,8,4,0.85,47,2,0,0,False
02,58,8,8,4,0.85,64,4,0,0,False
02,25,8,8,4,0.85,107,4,1,1,False
02,198,8,8,4,0.85,60,1,1,1,False
02,97,8,8,4,0.85,358,7,4,1,False
02,14,8,8,4,0.85,20,2,0,0,False
02,197,8,8,4,0.85,31,1,0,0,False
02,126,8,8,4,0.85,23,1,0,0,False
02,112,8,8,4,0.85,93,5,1,1,False
02,38,8,8,4,0.85,103,1,1,1,False
02,1,8,8,4,0.85,21,2,0,0,False
02,43,8,8,4,0.85,10,1,0,0,False
02,18,8,8,4,0.85,281,6,3,1,False
02,64,8,8,4,0.85,123,6,2,1,False
02,72,8,8,4,0.85,86,3,1,1,False
02,178,8,8,4,0.85,31,4,0,0,False
02,161,8,8,4,0.85,208,5,1,1,False
02,174,8,8,4,0.85,12,2,0,0,False
02,5,8,8,4,0.85,5,1,0,0,False
02,9,8,8,4,0.85,136,2,2,1,False
02,79,8,8,4,0.85,16,2,0,0,False
02,55,8,8,4,0.85,34,3,1,1,False
02,117,8,8,4,0.85,568,6,4,1,False
02,24,8,8,4,0.85,5,2,0,0,False
02,153,8,8,4,0.85,164,1,1,1,False
02,138,8,8,4,0.85,36,3,0,0,False
02,86,8,8,4,0.85,64,2,1,1,False
02,148,8,8,4,0.85,34,4,0,0,False
02,63,8,8,4,0.85,538,10,6,2,True
02,125,8,8,4,0.85,5,1,0,0,False
02,171,8,8,4,0.85,725,12,3,1,False
02,119,8,8,4,0.85,1041,7,4,1,False
02,2,8,8,4,0.85,16,2,0,0,False
02,118,8,8,4,0.85,3,1,0,0,False
03,11,8,8,4,0.85,138,3,2,2,True
03,88,8,8,4,0.85,11,3,0,0,False
03,110,8,8,4,0.85,87,2,1,1,False
03,179,8,8,4,0.85,778,9,4,1,False
03,23,8,8,4,0.85,25,6,0,0,False
03,17,8,8,4,0.85,88,1,1,1,False
03,54,8,8,4,0.85,450,12,5,2,True
03,132,8,8,4,0.85,256,3,2,1,False
03,196,8,8,4,0.85,171,8,2,1,False
03,158,8,8,4,0.85,271,3,2,1,False
03,10,8,8,4,0.85,90,6,2,1,False
03,90,8,8,4,0.85,152,4,2,1,False
03,32,8,8,4,0.85,24,3,0,0,False
03,45,8,8,4,0.85,62,5,0,0,False
03,28,8,8,4,0.85,9,1,0,0,False
03,159,8,8,4,0.85,60,4,1,1,False
03,149,8,8,4,0.85,54,3,1,1,False
03,58,8,8,4,0.85,46,5,0,0,False
03,25,8,8,4,0.85,103,4,1,1,False
03,198,8,8,4,0.85,44,1,1,1,False
03,97,8,8,4,0.85,375,8,3,1,False
03,14,8,8,4,0.85,19,2,0,0,False
03,197,8,8,4,0.85,41,1,1,1,False
03,126,8,8,4,0.85,10,1,0,0,False
03,112,8,8,4,0.85,66,4,1,1,False
03,38,8,8,4,0.85,84,1,1,1,False
03,1,8,8,4,0.85,45,2,1,1,False
03,43,8,8,4,0.85,7,2,0,0,False
03,18,8,8,4,0.85,298,6,2,1,False
03,64,8,8,4,0.85,126,5,2,1,False
03,72,8,8,4,0.85,97,4,1,1,False
03,178,8,8,4,0.85,24,3,0,0,False
03,161,8,8,4,0.85,226,3,1,1,False
03,174,8,8,4,0.85,25,2,0,0,False
03,5,8,8,4,0.85,11,1,0,0,False
03,9,8,8,4,0.85,133,3,1,1,False
03,79,8,8,4,0.85,11,4,0,0,False
03,55,8,8,4,0.85,34,4,0,0,False
03,117,8,8,4,0.85,544,5,4,1,False
03,24,8,8,4,0.85,2,2,0,0,False
03,153,8,8,4,0.85,167,1,1,1,False
03,138,8,8,4,0.85,31,3,0,0,False
03,86,8,8,4,0.85,80,4,1,1,False
03,148,8,8,4,0.85,34,4,0,0,False
03,63,8,8,4,0.85,538,12,5,2,True
03,125,8,8,4,0.85,7,1,0,0,False
03,171,8,8,4,0.85,718,10,3,1,False
03,119,8,8,4,0.85,1006,8,3,1,False
03,2,8,8,4,0.85,19,2,0,0,False
03,118,8,8,4,0.85,6,1,0,0,False
