candidate,matrix_id,residence_length,start_support,durable_support,separation,residence_episodes,coherent_clusters,stable_forms,distinct_stable_forms,rule_survives
02,11,4,4,4,0.8,1244,31,7,2,True
02,11,4,4,4,0.85,1244,31,7,2,True
02,11,4,4,4,0.9,1244,31,7,2,True
02,11,4,8,4,0.8,1244,31,7,2,True
02,11,4,8,4,0.85,1244,31,7,2,True
02,11,4,8,4,0.9,1244,31,7,2,True
02,11,4,16,4,0.8,1244,31,7,2,True
02,11,4,16,4,0.85,1244,31,7,2,True
02,11,4,16,4,0.9,1244,31,7,2,True
02,11,8,4,4,0.8,123,3,2,2,True
02,11,8,4,4,0.85,123,3,2,2,True
02,11,8,4,4,0.9,123,3,2,2,True
02,11,8,8,4,0.8,123,3,2,2,True
02,11,8,8,4,0.85,123,3,2,2,True
02,11,8,8,4,0.9,123,3,2,2,True
02,11,8,16,4,0.8,123,3,2,2,True
02,11,8,16,4,0.85,123,3,2,2,True
02,11,8,16,4,0.9,123,3,2,2,True
02,11,16,4,4,0.8,1,1,0,0,False
02,11,16,4,4,0.85,1,1,0,0,False
02,11,16,4,4,0.9,1,1,0,0,False
02,11,16,8,4,0.8,1,1,0,0,False
02,11,16,8,4,0.85,1,1,0,0,False
02,11,16,8,4,0.9,1,1,0,0,False
02,11,16,16,4,0.8,1,1,0,0,False
02,11,16,16,4,0.85,1,1,0,0,False
02,11,16,16,4,0.9,1,1,0,0,False
02,88,4,4,4,0.8,385,57,1,1,False
02,88,4,4,4,0.85,385,57,1,1,False
02,88,4,4,4,0.9,385,57,1,1,False
02,88,4,8,4,0.8,385,57,1,1,False
02,88,4,8,4,0.85,385,57,1,1,False
02,88,4,8,4,0.9,385,57,1,1,False
02,88,4,16,4,0.8,385,57,1,1,False
02,88,4,16,4,0.85,385,57,1,1,False
02,88,4,16,4,0.9,385,57,1,1,False
02,88,8,4,4,0.8,11,1,0,0,False
02,88,8,4,4,0.85,11,1,0,0,False
02,88,8,4,4,0.9,11,1,0,0,False
02,88,8,8,4,0.8,11,1,0,0,False
02,88,8,8,4,0.85,11,1,0,0,False
02,88,8,8,4,0.9,11,1,0,0,False
02,88,8,16,4,0.8,11,1,0,0,False
02,88,8,16,4,0.85,11,1,0,0,False
02,88,8,16,4,0.9,11,1,0,0,False
02,88,16,4,4,0.8,0,0,0,0,False
02,88,16,4,4,0.85,0,0,0,0,False
02,88,16,4,4,0.9,0,0,0,0,False
02,88,16,8,4,0.8,0,0,0,0,False
02,88,16,8,4,0.85,0,0,0,0,False
02,88,16,8,4,0.9,0,0,0,0,False
02,88,16,16,4,0.8,0,0,0,0,False
02,88,16,16,4,0.85,0,0,0,0,False
02,88,16,16,4,0.9,0,0,0,0,False
02,110,4,4,4,0.8,718,24,1,1,False
02,110,4,4,4,0.85,718,24,1,1,False
02,110,4,4,4,0.9,718,24,1,1,False
02,110,4,8,4,0.8,718,24,1,1,False
02,110,4,8,4,0.85,718,24,1,1,False
02,110,4,8,4,0.9,718,24,1,1,False
02,110,4,16,4,0.8,718,24,1,1,False
02,110,4,16,4,0.85,718,24,1,1,False
02,110,4,16,4,0.9,718,24,1,1,False
