candidate,matrix_id,kind,relation,source_lineage,target_lineage,h
02,11,strict,within,0,0,0.9935525168708493
02,11,strict,within,8,8,0.9868880012060632
02,11,strict,within,9,9,0.9880095412209509
02,11,strict,within,10,10,0.9850118344520918
02,11,strict,within,12,12,0.9561919971125056
02,11,strict,within,20,20,0.9896376359547028
02,11,strict,within,24,24,0.9618663758658396
02,11,strict,within,28,28,0.9867296697613642
02,11,strict,within,31,31,0.976923727583403
02,11,strict,within,33,33,0.9919601402942732
02,11,strict,within,47,47,0.981838419787864
02,11,strict,within,50,50,0.9761597805389574
02,11,strict,within,52,52,0.9873802097909481
02,11,strict,within,56,56,0.989722258088951
02,11,strict,within,57,57,0.9751066609872298
02,11,strict,within,60,60,0.9887999900935726
02,11,strict,within,70,70,0.9947955526704526
02,11,strict,within,73,73,0.9801035861256912
02,11,strict,within,82,82,0.9862183734802626
02,11,strict,within,84,84,0.9873341615275261
02,11,strict,cross,0,8,0.9872804836498902
02,11,strict,cross,0,9,0.03493433999243816
02,11,strict,cross,0,10,0.9899303071235295
02,11,strict,cross,0,12,0.021499600143405066
02,11,strict,cross,0,20,0.9861043359984146
02,11,strict,cross,0,24,0.028372059949828145
02,11,strict,cross,0,28,0.03071259998668785
02,11,strict,cross,0,31,0.030847319707262906
02,11,strict,cross,0,33,0.9888852708017855
02,11,strict,cross,0,47,0.9845725952395817
02,11,strict,cross,0,50,0.17328750878026225
02,11,strict,cross,0,52,0.9788983053824947
02,11,strict,cross,0,56,0.02066097562724261
02,11,strict,cross,0,57,0.028584063265334556
02,11,strict,cross,0,60,0.9785620891159547
02,11,strict,cross,0,70,0.987894928704722
02,11,strict,cross,0,73,0.02747837607124793
02,11,strict,cross,0,82,0.029218479348436185
02,11,strict,cross,0,84,0.022958197974046447
02,11,strict,cross,8,0,0.9898603129022671
02,11,strict,cross,8,9,0.0043197331145773
02,11,strict,cross,8,10,0.9899086604071395
02,11,strict,cross,8,12,0.0024137510090692306
02,11,strict,cross,8,20,0.9812600317746497
02,11,strict,cross,8,24,0.003835633365387872
02,11,strict,cross,8,28,0.00592177933270535
02,11,strict,cross,8,31,0.0019469134914804767
02,11,strict,cross,8,33,0.9868237734137335
02,11,strict,cross,8,47,0.9856902005161186
02,11,strict,cross,8,50,0.1510594311446631
02,11,strict,cross,8,52,0.9817973583913444
02,11,strict,cross,8,56,0.0007203723570065753
02,11,strict,cross,8,57,0.003676758393688943
02,11,strict,cross,8,60,0.9803202784058642
02,11,strict,cross,8,70,0.9850493675381047
02,11,strict,cross,8,73,0.000997839024957063
02,11,strict,cross,8,82,0.0029701324744268436
02,11,strict,cross,8,84,0.007028611331055874
02,11,strict,cross,9,0,0.001389316922563764
02,11,strict,cross,9,8,0.10708357213994175
02,11,strict,cross,9,10,0.006059677105014952
02,11,strict,cross,9,12,0.9489009079073668
02,11,strict,cross,9,20,0.12761748405595832
02,11,strict,cross,9,24,0.9886417835213585
02,11,strict,cross,9,28,0.9761009231450031
02,11,strict,cross,9,31,0.9723750279233049
02,11,strict,cross,9,33,0.0039610477659958255
02,11,strict,cross,9,47,0.000706228332676251
02,11,strict,cross,9,50,0.9671048880651252
02,11,strict,cross,9,52,0.0005592354464451179
02,11,strict,cross,9,56,0.9667567755950718
02,11,strict,cross,9,57,0.9830336795990088
02,11,strict,cross,9,60,0.02124545254558252
02,11,strict,cross,9,70,0.0779613999136351
02,11,strict,cross,9,73,0.9896252117138429
02,11,strict,cross,9,82,0.9877131432648666
02,11,strict,cross,9,84,0.9804407699184668
02,11,strict,cross,10,0,0.9783493684817102
02,11,strict,cross,10,8,0.9766627641800918
02,11,strict,cross,10,9,0.0823543334577194
02,11,strict,cross,10,12,0.06389531654258371
02,11,strict,cross,10,20,0.9779762227271975
02,11,strict,cross,10,24,0.0719275292616475
02,11,strict,cross,10,28,0.07834522089287334
02,11,strict,cross,10,31,0.07219251770996432
02,11,strict,cross,10,33,0.9794531161903142
02,11,strict,cross,10,47,0.9625958644007845
02,11,strict,cross,10,50,0.2181268176582738
02,11,strict,cross,10,52,0.9531952664938661
02,11,strict,cross,10,56,0.06875723668582867
02,11,strict,cross,10,57,0.0792977729788566
02,11,strict,cross,10,60,0.9551628105602269
02,11,strict,cross,10,70,0.9740692466603135
02,11,strict,cross,10,73,0.07221535632743946
02,11,strict,cross,10,82,0.06830519658648802
02,11,strict,cross,10,84,0.07218027756644854
02,11,strict,cross,12,0,0.0017362223984981398
02,11,strict,cross,12,8,0.1005194280310747
02,11,strict,cross,12,9,0.957093925068116
02,11,strict,cross,12,10,0.007976139064022435
02,11,strict,cross,12,20,0.1250745816493145
02,11,strict,cross,12,24,0.9569568503406494
02,11,strict,cross,12,28,0.9727954566953813
02,11,strict,cross,12,31,0.9351038029919095
02,11,strict,cross,12,33,0.007218898094819467
02,11,strict,cross,12,47,0.00027017449272631193
02,11,strict,cross,12,50,0.9450230494973116
02,11,strict,cross,12,52,0.0017971038925565482
02,11,strict,cross,12,56,0.9680558150261773
02,11,strict,cross,12,57,0.954748625364089
02,11,strict,cross,12,60,0.019973276795797867
02,11,strict,cross,12,70,0.07454239227447229
02,11,strict,cross,12,73,0.9549546313715573
02,11,strict,cross,12,82,0.9542369020604456
02,11,strict,cross,12,84,0.9382847211983434
02,11,strict,cross,20,0,0.9893874742922497
02,11,strict,cross,20,8,0.9898172633843288
02,11,strict,cross,20,9,0.04017990316854296
02,11,strict,cross,20,10,0.985805712407872
02,11,strict,cross,20,12,0.026271629648789485
02,11,strict,cross,20,24,0.03904841242621881
02,11,strict,cross,20,28,0.03208786074086367
02,11,strict,cross,20,31,0.0393775793169714
02,11,strict,cross,20,33,0.9901254949741506
02,11,strict,cross,20,47,0.9892804751302801
02,11,strict,cross,20,50,0.17983494326915941
02,11,strict,cross,20,52,0.982652713993296
02,11,strict,cross,20,56,0.02803367212002744
02,11,strict,cross,20,57,0.030676814473848794
02,11,strict,cross,20,60,0.9843123519912274
02,11,strict,cross,20,70,0.9873429557689972
02,11,strict,cross,20,73,0.03123991642708736
02,11,strict,cross,20,82,0.03348855358825799
02,11,strict,cross,20,84,0.031935892650544015
02,11,strict,cross,24,0,0.0011979684108636755
02,11,strict,cross,24,8,0.10566373725789108
02,11,strict,cross,24,9,0.9473500390641072
02,11,strict,cross,24,10,0.007084863690627575
02,11,strict,cross,24,12,0.9877297542908322
02,11,strict,cross,24,20,0.1296588728034609
02,11,strict,cross,24,28,0.9749078202977337
02,11,strict,cross,24,31,0.9169776231346908
02,11,strict,cross,24,33,0.004743748149139002
02,11,strict,cross,24,47,0.0022836021599786614
02,11,strict,cross,24,50,0.9765283640126231
02,11,strict,cross,24,52,0.0016877447893175858
02,11,strict,cross,24,56,0.9935675161454813
02,11,strict,cross,24,57,0.9786782563304788
02,11,strict,cross,24,60,0.01766160603321257
02,11,strict,cross,24,70,0.07777232486536911
02,11,strict,cross,24,73,0.9711137437514131
02,11,strict,cross,24,82,0.9711258758854264
