selection_order,matrix_id,regconf_events_02,regconf_events_03,selection_hash
0,11,17,33,00bf3620e933359518f428eed428b2b6ef5a0e6236a67f8603d67f7e17b3f6b0
1,88,2,3,074fc021efd4b739d367d47d00ef751535dca4cd41ce4d7e5ed5212576a5ba65
2,110,25,36,07ab645f93aa0520dd912e408a47fffc87b4a2b1d5c329993b37a5b68655618d
3,179,14,33,0a5084cad96595db27f32041bf6d7612fee6d10a9bf16a80a06ac7055ce49ea6
4,23,1,2,0ca0f5ef2171dab45607cd3e6deea25e8f9b7a0e753a4ff5c9b74594f4e0f021
5,17,11,16,0cdf1a71c285c21bdbf315133190ff13ae5d2a0ae6ccdadeb0601102da179eba
6,54,2,2,0d31a2c337e55e376d9b4cccf413978a070b0d2c966c7df4d78a1cbc70745421
7,132,53,43,0e5954c94aa1382ec88a2acdef52284a2f46d87f1da09d8be6499ded040c1303
8,196,6,12,0f3cc535026baead3abcd76a2709803371ac876f50e11b066b8c10a2ba0c5b39
9,158,36,47,0fdb75f4fd610725869898b9b66944c07a3d729e97b9fd6e511a8c3f69f1c941
10,10,2,12,1118adabc184e54606c3f47eb2052d855727771437819443f373bc0fd41b46f0
11,90,8,7,1320a2b242e859cbdd27d47ec01943a26ee91ea3b5bb22c54d7cfcc71235ef97
12,32,1,2,152c7417862bb88459f748820b3fe17b07c25c9260d8fb7b843c16b53c9b7cf6
13,45,2,3,153fdcadc236b1e9c532206f3b864344c803ca72aa565ff6f0610642a58c5672
14,28,2,3,156b4f7dca6a411eff7f72f0fe2b7c7230a8324554063f9799256c379c9c385a
15,159,19,12,19246948368c5a927a5b0e020ab24fb2c805cbf8d8ace5b4945de55e62f8b800
16,149,6,13,192e2dddeea25888aca6f6265b28d9e10b01d34d96abde5f2f9ffa9a12b59915
17,58,3,4,1a84b4db68b741a382e425c64920e243b4796a955e846d173ddd790038ec3e74
18,25,11,6,1e5ac4df89af17a7d27d4c6d23accfe0c5c897f19654d63572a96b7b5da1b482
19,198,23,14,1f79ac3b36057d32da9146e86cc62478cf2b68a6fe134311452706bef494af98
20,97,1,5,219f340a698d2579f5687ab4bfec4d6d64bd5e83f3657908599da0b2f67897ca
21,14,5,13,23ed2b80747214a2c7f223f2660c4706ab249564f5c57457271b852138fce92f
22,197,11,13,263021b1d42f6ebb5d83feced2791716c88485246742856ff4beb9858d040130
23,126,3,10,29603ed815ec74992cfe90a56a6b82df96e4db83f6d41b0835beba1bb3362f88
24,112,4,12,2a6a25dd6198cf49d03945426c1e6d6408f25632bb085aa12902139f3c7209a5
25,38,34,33,2bb8ec726b2fc5023b5c613d67e5bdac1c352c5c3d5ba5443a12360e02a0dbb7
26,1,3,6,2ce9f70aa0ffb32ce8ab712ed5fb5b8f9d4f95c856bd6d1f0c5c01a18d4e077e
27,43,1,5,2e3737fd3ecdec2358846a1879bf830f319befe331fb8b990278b6a6a020da57
28,18,4,7,2f13c292563ed790440f358ee5aebc9173d64a1afc1b486927a2f3e7b20266fc
29,64,9,12,311212a9a1896177aa1f4f2a21805a5a6d6d5b4fde974b73a5aeb061bc531909
30,72,8,14,31ac6244449ce244b756402e9b185e856e37c24a9894c793d3acbcb01908e29c
31,178,4,3,31e356cc93056e30997b4b9bebc9008388acae11390dc4f295d3bdcaa157431d
32,161,57,47,325c0e032185c93b05f970bd7f6efcce784d45d8fbb6fa9bd89b832d195c4310
33,174,4,3,3666574748f0fa0e995b4199fa53c85937a72bbf5ee1103e4efc1ab86115ba65
34,5,7,7,3787e3b1f440afd2d03b91b5f3fc436e2f19d46a85dc9cdab6257fdd49749797
35,9,35,34,39bfc45202897dcd8fe8d3acf50e1e0db675dfad6988e3aa9f188e6d8ed99103
36,79,4,5,3b2c48b4bc2a0ec86ad8149d3d48a901c2222cd7a5ec326891a05bab30595bcd
37,55,2,5,3d12031cb18eb97912153614f145017fbce0b04875552975126e591ce7a9e8c0
38,117,36,81,40e26af6fc7744d79eb849c35f4318b0e75986b2befcaf5134698ec417514566
39,24,1,2,41262582c4ea68fd79ae84f48e1a218a07f60f0a3f2e539ff630d1e3e578f214
40,153,44,65,4c95a2bab87f280c53f57dfd05bfab3f92f019b7cf57f3e077012a1d828d8d79
41,138,3,4,4d3a6db5b003c1448029116a20ba21504d72b1b3ef6455a678ffade25593359e
42,86,5,4,502f6b34c724cbfcd1857fb5cb326aeaf4a2104ef046d8243257b7019b9f7c57
43,148,4,4,5b170fcbf9315a1dd078996c7bbb9f74636e08e624478d8bca1522b528724920
44,63,22,5,5c572d31ee5af5aec76020198f2033a0bdd703be66ed08029faa4e307f0edb51
45,125,2,1,5c6d8352fc9fac25ff66c4876390b2a6d2ee943aa4a38eb69aca327e89781174
46,171,15,30,5fd83eb19b697b14a580ba25782977da3506c1345b7c50d0fcc1759ffc52e211
47,119,102,177,6065b7d6913a69205e9870c8c28074dba299ee6e52ad439d7eb4cf9797050bc1
48,2,2,8,60f7379b12705143992f5340dd78cac797452e5f0d1b806b79f2bc6b2b61ac16
49,118,3,4,6111564a573bfac03bb196bbf7f2455f6bdaa1f8b620a3cb9c3c326d7c8fab16
