candidate,matrix_id,cohort,target_bank_index,target_lineage,target,stranger_permutation,stranger_h,isomorphism_permutation,multiform,form_a_bank_index,form_a_lineage,form_a,form_b_bank_index,form_b_lineage,form_b,form_h
02,11,engineering,0,0,"[0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[65,44,0,84,81,89,18,63,14,88,35,54,73,67,51,28,96,42,23,38,91,10,59,75,93,92,66,72,61,90,31,40,79,68,37,27,25,33,70,8,39,34,86,71,45,1,69,53,19,49,94,24,6,83,62,29,76,60,5,3,48,17,26,95,74,30,64,55,2,47,13,80,41,16,99,97,56,43,82,9,36,52,32,21,85,12,50,7,11,20,77,15,46,57,58,78,22,98,4,87]",0.0,"[18,87,40,26,70,29,7,9,20,8,93,38,55,94,45,35,91,43,4,77,96,54,51,19,27,71,10,12,50,24,75,42,67,95,39,64,62,2,16,41,92,79,25,90,0,21,13,6,3,22,31,15,28,85,83,69,59,80,5,14,89,86,78,57,68,82,44,97,99,32,52,34,76,56,1,66,73,72,58,84,61,74,33,53,49,65,47,37,11,17,60,88,48,46,36,98,81,23,63,30]",False,,,,,,,
02,88,primary,0,60,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[78,89,43,49,10,74,91,86,45,66,62,61,85,57,18,77,42,83,38,20,26,29,11,56,44,28,30,54,36,25,0,96,51,52,67,79,59,37,82,60,58,32,27,12,73,31,55,5,19,80,75,94,22,63,23,40,1,98,93,99,34,92,15,69,21,48,87,68,97,8,90,53,70,33,46,47,16,64,3,88,71,6,7,65,24,41,39,72,95,81,35,17,13,76,9,50,4,14,84,2]",0.0,"[92,51,31,7,60,42,10,23,24,79,13,63,68,96,36,67,27,40,33,19,52,86,26,38,83,1,55,41,39,88,30,90,28,91,25,64,14,65,82,18,12,4,29,93,2,46,9,0,58,6,81,66,77,78,87,89,8,80,37,95,3,54,59,35,53,85,84,50,17,73,32,74,97,34,48,5,56,76,99,72,57,21,44,71,11,16,98,43,47,61,62,15,70,69,49,22,94,75,20,45]",False,,,,,,,
02,110,primary,0,7,"[1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0]","[67,45,72,12,19,34,68,37,55,59,64,6,88,7,3,49,71,65,8,54,66,78,70,14,61,15,35,51,87,74,38,25,42,98,23,24,0,57,31,76,27,28,89,4,47,17,58,93,41,79,90,96,62,2,86,69,20,77,16,11,48,97,92,9,21,80,63,99,82,60,50,39,36,81,94,91,18,5,13,53,29,33,22,32,46,10,52,85,40,73,84,95,56,26,1,44,75,30,83,43]",0.0,"[68,57,18,61,42,80,67,89,63,73,33,59,92,88,54,27,13,8,6,85,39,21,82,19,0,31,48,83,10,55,2,5,76,3,53,74,81,71,22,58,93,40,14,35,64,29,51,65,23,95,34,77,7,97,12,84,94,98,4,16,66,26,36,60,78,11,49,75,79,72,20,24,9,62,1,44,32,50,37,99,43,69,25,28,70,17,90,91,15,38,46,30,86,52,47,87,41,96,56,45]",False,,,,,,,
02,179,primary,0,2,"[0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0]","[1,92,59,98,7,37,23,81,15,13,12,34,94,82,80,8,36,39,32,69,17,45,28,5,25,9,68,73,96,57,49,50,35,58,66,52,85,88,65,63,53,84,51,40,38,42,10,67,43,83,86,11,62,70,61,31,3,71,54,26,44,89,47,72,33,22,41,30,27,87,93,99,91,20,2,14,18,29,74,97,4,77,55,19,0,95,78,24,16,60,76,64,21,75,46,90,56,6,48,79]",0.0,"[37,22,25,42,52,38,75,83,23,8,66,82,54,27,91,96,76,49,26,71,31,4,17,70,56,48,80,88,61,67,32,9,2,98,47,46,81,43,12,77,73,15,33,28,87,65,95,74,68,57,29,94,92,93,6,59,86,34,0,72,53,40,45,99,16,5,10,35,30,14,1,79,20,85,41,63,3,24,21,19,78,18,36,60,64,51,13,90,7,84,11,39,50,58,44,62,69,97,89,55]",False,,,,,,,
02,23,primary,0,74,"[0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,0,2,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,65,7,21,75,37,49,1,34,2,62,22,36,93,81,79,82,73,52,87,9,30,46,63,51,94,15,99,3,32,54,53,66,91,59,74,97,98,68,56,92,71,43,70,69,11,55,80,28,19,95,29,35,10,24,17,88,89,40,67,58,23,48,77,84,20,90,64,31,60,47,57,18,6,76,61,42,86,33,25,16,4,50,78,26,72,13,41,12,8,83,45,44,5,39,14,27,85,96,38]",0.0,"[42,4,88,73,3,15,90,93,40,82,46,68,24,91,31,22,61,69,72,1,89,8,33,81,34,87,39,50,96,76,86,9,99,38,13,64,53,62,25,59,71,51,66,11,83,30,0,47,7,55,65,14,28,5,79,84,75,37,29,74,54,10,58,12,98,44,78,80,49,6,97,95,94,63,18,70,48,19,35,77,43,20,67,17,60,32,41,85,36,23,57,45,21,16,52,56,26,92,2,27]",True,0,74,"[0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,0,2,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2,98,"[0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0.0
02,17,primary,0,21,"[0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[7,33,63,91,20,80,47,26,69,9,12,57,73,42,83,11,54,16,18,92,44,31,17,95,60,36,6,99,74,64,79,52,97,38,24,53,76,2,68,55,75,49,41,32,15,39,72,94,3,82,30,10,1,96,37,70,46,28,61,51,59,58,48,22,90,86,93,40,67,88,13,35,89,34,4,43,81,87,77,98,8,62,45,27,0,71,19,66,14,56,23,65,5,78,50,85,29,84,21,25]",0.0,"[60,94,15,53,34,95,4,21,23,67,42,13,80,2,10,99,89,72,70,85,25,91,26,37,97,83,0,41,54,8,66,46,73,35,48,39,56,88,86,96,11,52,22,3,29,5,36,16,81,7,69,75,38,61,77,74,20,28,55,57,68,43,45,30,32,65,6,98,90,84,79,64,59,18,40,31,50,87,24,47,71,58,76,17,12,78,93,92,62,82,1,51,63,33,9,44,49,14,27,19]",False,,,,,,,
02,54,engineering,0,45,"[0,1,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0]","[71,26,32,23,4,73,36,46,55,8,75,79,77,15,27,68,11,70,82,0,31,78,83,88,61,35,86,49,20,34,84,52,89,28,74,76,94,50,12,80,5,67,69,45,39,24,72,99,16,47,17,59,56,93,19,9,44,7,21,42,87,13,40,66,58,63,1,53,18,81,33,38,57,96,30,14,48,65,37,97,22,41,91,64,98,3,54,10,51,43,92,85,29,90,60,62,95,6,2,25]",0.0,"[0,83,48,69,70,87,80,73,63,17,14,18,30,82,52,72,79,74,45,88,56,38,85,67,61,35,22,71,90,2,50,78,8,34,64,33,24,55,4,62,39,37,6,32,59,29,27,12,99,76,86,31,7,84,20,25,11,43,57,42,23,81,3,66,46,60,26,92,40,77,97,93,68,53,28,47,58,98,41,96,5,9,44,1,49,94,19,51,75,10,54,91,95,13,89,36,65,21,16,15]",False,,,,,,,
02,132,primary,0,2,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0]","[96,32,38,51,1,65,91,2,33,50,6,36,4,66,84,85,89,73,47,31,99,92,25,3,62,28,18,13,11,80,71,87,98,26,7,29,49,81,35,90,70,52,74,79,27,77,57,56,22,20,60,12,9,46,16,82,5,39,93,54,24,8,88,14,78,97,63,37,68,34,21,53,69,0,42,10,94,58,64,75,83,55,40,41,45,44,23,19,86,67,17,61,76,48,59,30,15,95,72,43]",0.0,"[34,43,10,88,28,2,1,22,0,25,38,64,89,63,12,49,21,4,39,59,47,77,20,85,56,67,53,9,29,19,78,61,72,87,50,96,41,15,97,40,75,82,76,90,91,84,60,5,8,23,3,14,33,17,73,57,51,26,98,30,70,80,45,7,37,44,58,52,62,81,31,92,18,86,79,11,13,69,36,42,83,68,71,66,35,16,27,54,93,55,95,24,94,32,48,6,74,99,65,46]",False,,,,,,,
02,196,primary,0,3,"[17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0]","[23,6,35,91,81,16,10,50,77,92,55,28,99,21,58,53,69,9,65,5,61,86,12,1,94,78,64,25,13,68,2,17,26,83,66,49,98,24,85,60,97,79,14,80,7,82,75,74,84,54,3,45,40,32,59,52,63,95,96,47,57,0,27,36,31,15,22,89,71,39,90,4,62,73,93,76,87,42,48,88,11,18,56,29,33,8,67,20,19,51,34,37,44,30,70,72,43,46,38,41]",0.0,"[51,80,1,65,40,60,61,43,94,6,66,67,73,14,27,39,2,91,62,52,28,55,53,54,98,74,83,42,31,88,89,13,63,32,72,24,4,9,45,71,97,47,36,75,57,70,96,16,10,29,86,69,77,68,46,12,38,7,58,85,78,3,92,90,64,5,26,79,76,34,87,44,84,33,99,22,25,18,81,49,8,23,41,56,19,20,48,37,21,95,11,17,82,93,35,0,30,15,59,50]",True,4,76,"[17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0]",11,189,"[18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0.8311922179283526
02,158,primary,0,4,"[0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,1,0,0,2,0,0,0,0,0,0,0]","[19,82,4,78,80,76,6,94,9,37,13,0,69,2,43,54,88,86,11,10,59,25,3,15,72,30,49,57,99,38,68,75,45,98,92,21,63,83,81,90,87,28,5,48,96,46,22,32,95,24,1,77,71,93,84,56,67,42,89,73,61,70,97,74,36,14,12,51,29,65,66,7,64,33,31,41,17,26,60,55,85,79,53,8,18,52,35,91,23,40,47,20,44,50,58,34,16,27,39,62]",0.0,"[16,13,45,4,38,95,36,48,14,62,86,67,34,44,39,22,73,51,33,29,27,19,78,28,74,1,63,98,37,3,77,41,10,66,90,68,96,11,7,55,18,99,89,43,26,2,54,91,93,59,83,50,57,32,49,81,71,72,35,61,40,80,58,87,76,65,0,17,69,85,25,70,8,12,9,6,56,84,64,79,30,15,24,75,42,5,46,82,53,94,20,21,60,31,88,92,97,23,52,47]",False,,,,,,,
02,10,primary,0,27,"[0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0]","[80,27,22,65,62,98,67,48,85,12,23,73,99,88,3,44,51,41,78,56,16,35,28,84,94,25,60,91,72,9,10,74,58,4,38,70,47,79,89,14,17,96,6,68,26,37,1,20,75,49,93,43,18,77,64,13,97,66,39,71,21,32,92,54,50,11,63,31,52,36,15,76,95,7,2,90,46,69,61,8,40,42,81,45,82,87,24,53,83,86,19,59,33,57,29,0,5,30,55,34]",0.0,"[57,80,36,94,5,42,59,92,86,85,33,40,37,64,75,90,88,84,51,18,72,10,4,79,98,12,19,58,43,16,77,82,78,31,27,20,21,60,53,35,30,7,63,47,24,87,74,93,32,70,39,0,76,81,73,29,65,13,99,38,55,14,50,9,95,2,15,3,89,68,97,34,23,71,54,1,44,67,66,11,49,52,46,8,22,45,26,6,41,17,48,61,83,56,28,25,69,62,96,91]",True,2,46,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",11,123,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0.0
02,90,primary,0,16,"[0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0]","[2,96,32,53,38,52,15,60,89,29,61,8,48,57,3,62,20,92,66,22,59,75,46,44,39,87,56,79,90,86,17,1,81,88,40,65,54,94,83,35,26,47,51,6,91,9,84,45,74,64,18,36,49,23,0,63,4,24,98,95,21,42,55,69,99,93,5,43,10,33,14,12,30,97,37,71,13,67,82,27,19,70,80,31,50,78,25,58,77,68,85,28,73,11,72,16,41,76,7,34]",0.0,"[5,88,2,28,27,97,39,59,75,30,12,43,13,70,3,17,62,82,24,98,31,8,35,67,63,32,47,74,73,51,66,11,37,58,41,48,94,18,89,20,40,77,71,64,26,38,92,42,23,68,91,14,49,15,6,80,44,33,93,25,7,52,4,34,96,81,57,61,16,22,54,99,86,45,79,76,87,90,69,46,1,84,72,83,0,95,85,29,19,36,56,10,21,78,60,53,65,9,55,50]",False,,,,,,,
02,32,primary,0,52,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,11,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0]","[57,82,19,69,86,16,8,94,85,96,3,51,9,14,46,59,64,0,25,7,10,88,39,99,28,21,65,43,22,70,31,13,11,67,78,55,18,68,77,75,71,41,35,12,5,74,33,53,81,89,36,60,26,66,42,34,90,92,23,38,2,44,40,30,24,91,37,83,49,87,56,95,20,45,17,73,76,6,58,61,80,50,54,48,93,29,47,32,84,4,72,63,1,15,97,62,79,52,27,98]",0.0,"[23,99,43,80,4,77,28,24,3,0,18,81,93,22,17,57,11,86,13,84,83,15,75,96,59,36,70,55,54,94,87,61,48,63,34,46,26,40,33,73,85,8,47,65,52,60,72,31,92,97,76,50,20,7,12,56,2,25,19,10,35,69,44,1,30,89,88,6,9,91,21,41,5,66,74,64,38,37,32,45,42,58,16,51,49,71,67,27,29,39,14,79,68,90,98,95,53,82,62,78]",False,,,,,,,
02,45,primary,0,37,"[0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[41,31,79,93,66,69,26,4,90,43,35,40,20,38,84,67,92,96,55,37,71,91,44,64,68,98,95,99,53,18,97,88,86,57,83,29,52,0,80,7,63,8,89,82,19,49,15,11,13,54,34,78,23,58,56,27,59,94,42,6,3,46,25,30,22,72,1,28,70,51,85,14,61,87,74,17,33,45,47,75,60,12,77,5,36,32,65,62,39,50,73,81,48,2,16,24,10,76,9,21]",0.0,"[35,14,60,79,6,70,53,59,76,22,82,18,83,9,52,45,27,2,91,56,19,15,37,50,55,39,10,89,30,34,7,54,63,86,42,71,0,47,73,58,66,95,36,25,26,81,75,77,40,28,21,4,1,17,57,23,31,84,74,51,44,72,78,69,13,93,24,46,12,20,41,43,90,80,67,96,99,97,61,65,94,8,32,3,85,48,5,49,38,88,33,64,87,98,11,16,62,92,68,29]",True,0,37,"[0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,243,"[0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1]",0.0
02,28,primary,0,45,"[0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0]","[71,20,48,13,45,49,91,62,11,63,72,73,8,66,68,25,59,16,4,88,58,9,98,70,93,31,55,29,37,52,18,99,89,67,35,2,96,36,86,38,44,40,24,33,43,28,65,56,60,61,79,90,64,80,19,30,41,5,39,97,82,74,87,22,77,42,51,7,94,17,34,95,54,92,10,81,75,83,46,14,76,26,78,3,47,1,32,57,6,85,12,50,69,53,0,84,23,15,27,21]",0.0,"[32,18,1,44,85,86,37,29,45,53,65,72,41,93,87,4,49,10,52,50,94,67,73,81,35,99,36,5,38,77,34,74,95,88,66,26,63,6,89,57,64,98,75,71,9,48,40,31,15,23,83,58,68,97,62,3,19,43,59,24,16,22,21,8,33,60,11,69,42,84,61,47,17,90,91,80,70,54,12,96,0,2,51,27,25,30,46,78,7,55,82,20,39,92,79,28,76,14,13,56]",False,,,,,,,
