grid_id,exponent,integrated_damage,order
b0p125_l0p5,-0.08342280563304856,0.020703125000000003,0
b0p25_l0p5,-0.07000238613717596,0.0397208830979672,1
b0p5_l0p5,-0.0733045048702993,0.04278824457766675,2
b1p0_l0p5,-0.09828808071217499,0.021330554728131876,3
b2p0_l0p5,-0.04090992186932243,0.05048467891814801,4
b4p0_l0p5,-0.014050575555034153,0.06809895833333333,5
b8p0_l0p5,-0.0636746965614196,0.044260295477848634,6
b0p125_l1p0,-0.04994456910816829,0.03162675742639729,7
b0p25_l1p0,-0.06814538870280701,0.04694010416666668,8
b0p5_l1p0,-0.038513157464715786,0.04367851874173742,9
b1p0_l1p0,-0.021293293673890053,0.056385789530011096,10
b2p0_l1p0,-0.011450684417568583,0.06869097454767595,11
b4p0_l1p0,-0.03687259771551933,0.06755609735196709,12
b8p0_l1p0,-0.042199216432965855,0.06256357933845468,13
b0p125_l2p0,-0.04982531197586272,0.026782374840725084,14
b0p25_l2p0,-0.053642160457606586,0.04629493165350805,15
b0p5_l2p0,-0.026293910395292913,0.039037481617345736,16
b1p0_l2p0,-0.0181186097217549,0.07363281249999999,17
b2p0_l2p0,-0.000358206768907456,0.07758417882855806,18
b4p0_l2p0,0.029619757971419337,0.09020013132850793,19
b8p0_l2p0,0.019176234590620986,0.08753751966653725,20
