candidate,arm,generation,at_risk,events,hazard
02,joint,1,19200,107,0.005572916666666667
02,joint,2,19093,346,0.018121824752527105
02,joint,3,18747,547,0.029178001813623514
02,joint,4,18200,669,0.03675824175824176
02,joint,5,17531,698,0.03981518453026068
02,joint,6,16833,688,0.04087209647715796
02,joint,7,16145,636,0.03939300092908021
02,joint,8,15509,569,0.036688374492230315
02,joint,9,14940,523,0.03500669344042838
02,joint,10,14417,504,0.03495872927793577
02,joint,11,13913,487,0.035003234385107454
02,joint,12,13426,439,0.03269775063309995
02,joint,13,12987,409,0.031493031493031495
02,joint,14,12578,400,0.03180155827635554
02,joint,15,12178,365,0.029972080801445228
02,joint,16,11813,366,0.030982815542199272
02,joint,17,11447,297,0.02594566261902682
02,joint,18,11150,319,0.02860986547085202
02,joint,19,10831,272,0.025113101283353336
02,joint,20,10559,275,0.026044132967137038
02,joint,21,10284,268,0.026059898872034228
02,joint,22,10016,255,0.02545926517571885
02,joint,23,9761,263,0.026943960659768465
02,joint,24,9498,222,0.02337334175615919
02,joint,25,9276,243,0.026196636481241913
02,joint,26,9033,209,0.023137385143363224
02,joint,27,8824,201,0.022778785131459655
02,joint,28,8623,190,0.02203409486257683
02,joint,29,8433,203,0.02407209771137199
02,joint,30,8230,193,0.02345078979343864
02,joint,31,8037,166,0.020654473062087845
02,joint,32,7871,167,0.02121712615931902
02,native,1,19200,80,0.004166666666666667
02,native,2,19120,341,0.017834728033472802
02,native,3,18779,583,0.03104531657702753
02,native,4,18196,723,0.03973400747417015
02,native,5,17473,663,0.03794425685343101
02,native,6,16810,688,0.04092801903628793
02,native,7,16122,624,0.03870487532564198
02,native,8,15498,558,0.036004645760743324
02,native,9,14940,585,0.0391566265060241
02,native,10,14355,485,0.033786137234413094
02,native,11,13870,472,0.03403028118240808
02,native,12,13398,414,0.03090013434841021
02,native,13,12984,405,0.031192236598890942
02,native,14,12579,378,0.03005008347245409
02,native,15,12201,376,0.03081714613556266
02,native,16,11825,339,0.028668076109936574
02,native,17,11486,323,0.028121191015148875
02,native,18,11163,310,0.027770312639971335
02,native,19,10853,297,0.027365705334930435
02,native,20,10556,308,0.029177718832891247
02,native,21,10248,258,0.025175644028103045
02,native,22,9990,260,0.026026026026026026
02,native,23,9730,253,0.026002055498458375
02,native,24,9477,228,0.0240582462804685
02,native,25,9249,254,0.027462428370634662
02,native,26,8995,220,0.024458032240133407
02,native,27,8775,205,0.023361823361823363
02,native,28,8570,218,0.02543757292882147
02,native,29,8352,163,0.019516283524904216
02,native,30,8189,172,0.021003785566003175
02,native,31,8017,170,0.021204939503554947
02,native,32,7847,184,0.023448451637568497
02,natural_stranger,1,6784,8,0.0011792452830188679
02,natural_stranger,2,6776,69,0.010182998819362455
02,natural_stranger,3,6707,175,0.026092142537647234
02,natural_stranger,4,6532,220,0.03368034292712799
02,natural_stranger,5,6312,230,0.03643852978453739
02,natural_stranger,6,6082,198,0.03255508056560342
02,natural_stranger,7,5884,210,0.03569000679809653
02,natural_stranger,8,5674,180,0.031723651744800845
02,natural_stranger,9,5494,181,0.032945030942846745
02,natural_stranger,10,5313,149,0.028044419348767176
02,natural_stranger,11,5164,149,0.02885360185902401
02,natural_stranger,12,5015,119,0.023728813559322035
02,natural_stranger,13,4896,134,0.027369281045751634
02,natural_stranger,14,4762,136,0.028559428811423773
02,natural_stranger,15,4626,125,0.027021184608733248
02,natural_stranger,16,4501,96,0.021328593645856476
02,natural_stranger,17,4405,102,0.02315550510783201
02,natural_stranger,18,4303,106,0.024633976295607717
02,natural_stranger,19,4197,82,0.0195377650702883
02,natural_stranger,20,4115,87,0.021142162818955042
02,natural_stranger,21,4028,88,0.021847070506454815
02,natural_stranger,22,3940,95,0.024111675126903553
02,natural_stranger,23,3845,78,0.020286085825747726
02,natural_stranger,24,3767,76,0.02017520573400584
02,natural_stranger,25,3691,87,0.023570848008669737
02,natural_stranger,26,3604,91,0.025249722530521643
02,natural_stranger,27,3513,85,0.024195844007970396
02,natural_stranger,28,3428,58,0.01691948658109685
02,natural_stranger,29,3370,58,0.017210682492581602
02,natural_stranger,30,3312,48,0.014492753623188406
02,natural_stranger,31,3264,53,0.016237745098039217
02,natural_stranger,32,3211,55,0.017128620367486764
02,rule_only,1,19200,440,0.022916666666666665
02,rule_only,2,18760,1466,0.07814498933901919
02,rule_only,3,17294,1512,0.08742916618480398
02,rule_only,4,15782,1060,0.06716512482575085
02,rule_only,5,14722,836,0.056785762803966855
02,rule_only,6,13886,760,0.0547313841278986
02,rule_only,7,13126,676,0.05150083803138809
02,rule_only,8,12450,586,0.04706827309236948
02,rule_only,9,11864,635,0.05352326365475388
02,rule_only,10,11229,492,0.04381512156024579
02,rule_only,11,10737,467,0.043494458414827235
02,rule_only,12,10270,434,0.04225900681596884
02,rule_only,13,9836,438,0.04453029686864579
02,rule_only,14,9398,373,0.039689295594807404
02,rule_only,15,9025,319,0.035346260387811634
02,rule_only,16,8706,308,0.03537790029864461
02,rule_only,17,8398,289,0.03441295546558704
02,rule_only,18,8109,283,0.03489949438895055
02,rule_only,19,7826,273,0.03488372093023256
02,rule_only,20,7553,258,0.03415861247186548
02,rule_only,21,7295,226,0.03098012337217272
02,rule_only,22,7069,209,0.02956570943556373
02,rule_only,23,6860,208,0.030320699708454812
02,rule_only,24,6652,206,0.03096812988574865
02,rule_only,25,6446,194,0.030096183679801426
02,rule_only,26,6252,181,0.02895073576455534
02,rule_only,27,6071,155,0.025531213968044805
02,rule_only,28,5916,159,0.0268762677484787
02,rule_only,29,5757,149,0.02588153552197325
02,rule_only,30,5608,126,0.0224679029957204
02,rule_only,31,5482,149,0.027179861364465523
02,rule_only,32,5333,119,0.02231389461841365
02,state_only,1,19200,559,0.029114583333333333
02,state_only,2,18641,1852,0.0993508931924253
02,state_only,3,16789,1627,0.09690869021383049
02,state_only,4,15162,1138,0.07505606120564569
02,state_only,5,14024,913,0.06510268111808329
02,state_only,6,13111,773,0.05895812676378613
02,state_only,7,12338,660,0.05349327281569136
02,state_only,8,11678,600,0.05137866072957698
02,state_only,9,11078,539,0.04865499187578985
02,state_only,10,10539,457,0.043362747888794004
02,state_only,11,10082,472,0.04681610791509621
02,state_only,12,9610,425,0.04422476586888657
02,state_only,13,9185,358,0.038976592270005446
02,state_only,14,8827,350,0.03965107057890563
02,state_only,15,8477,302,0.03562581101804884
02,state_only,16,8175,288,0.03522935779816514
02,state_only,17,7887,296,0.037530112843920375
02,state_only,18,7591,229,0.030167303385588196
02,state_only,19,7362,228,0.030969845150774247
02,state_only,20,7134,234,0.03280067283431455
02,state_only,21,6900,214,0.03101449275362319
02,state_only,22,6686,203,0.030361950344002395
02,state_only,23,6483,172,0.02653092703995064
02,state_only,24,6311,176,0.027887814926319126
02,state_only,25,6135,171,0.02787286063569682
02,state_only,26,5964,170,0.028504359490274984
02,state_only,27,5794,153,0.026406627545736968
02,state_only,28,5641,148,0.026236482893104058
02,state_only,29,5493,146,0.02657928272346623
02,state_only,30,5347,106,0.019824200486253975
02,state_only,31,5241,123,0.02346880366342301
02,state_only,32,5118,99,0.019343493552168817
03,joint,1,19200,147,0.00765625
03,joint,2,19053,561,0.02944418201857975
03,joint,3,18492,799,0.043207873675102745
03,joint,4,17693,830,0.046911207822302604
03,joint,5,16863,829,0.04916088477732313
03,joint,6,16034,757,0.047212174129973805
03,joint,7,15277,672,0.04398769391896315
03,joint,8,14605,632,0.04327285176309483
03,joint,9,13973,607,0.043440921777714164
03,joint,10,13366,555,0.04152326799341613
03,joint,11,12811,515,0.04019982827257825
03,joint,12,12296,467,0.03797983083929733
03,joint,13,11829,486,0.04108546791782906
03,joint,14,11343,412,0.03632196068059596
03,joint,15,10931,420,0.038422834141432625
03,joint,16,10511,342,0.03253734183236609
03,joint,17,10169,352,0.034615006391975615
03,joint,18,9817,349,0.03555057553223999
03,joint,19,9468,334,0.03527672158850866
03,joint,20,9134,310,0.033939128530764175
03,joint,21,8824,267,0.03025838621940163
03,joint,22,8557,250,0.029215846675236648
03,joint,23,8307,253,0.03045624172384736
03,joint,24,8054,220,0.027315619567916564
03,joint,25,7834,221,0.02821036507531274
03,joint,26,7613,237,0.03113096019965848
03,joint,27,7376,203,0.02752169197396963
03,joint,28,7173,195,0.027185278126306986
03,joint,29,6978,198,0.028374892519346516
03,joint,30,6780,155,0.022861356932153392
03,joint,31,6625,162,0.024452830188679244
03,joint,32,6463,172,0.02661302800557017
03,native,1,19200,132,0.006875
03,native,2,19068,538,0.028214810153136146
