candidate,matrix_id,form_index,adequate,intact_own_capture_f32,perturbed_own_mean,perturbed_own_lower,perturbed_own_upper,perturbed_cross_mean,perturbed_cross_lower,perturbed_cross_upper,origin_accuracy_mean,origin_accuracy_lower,origin_accuracy_upper,form_gate
02,11,0,True,0.046875,0.0576171875,0.0439453125,0.0712890625,0.0576171875,0.046875,0.068359375,0.0576171875,0.0439453125,0.0712890625,False
02,11,1,True,0.0546875,0.09765625,0.0751953125,0.12890625,0.02734375,0.017578125,0.0380859375,0.09765625,0.0751953125,0.12890625,False
02,54,0,True,0.8359375,0.720703125,0.6201171875,0.8095703125,0.0302734375,0.0185546875,0.0419921875,0.7197265625,0.62109375,0.8056884765624996,False
02,54,1,True,0.1875,0.1806640625,0.15625,0.2021484375,0.0107421875,0.0048828125,0.0166015625,0.1806640625,0.1572265625,0.2021484375,False
02,63,0,True,0.3046875,0.21875,0.185546875,0.2490234375,0.0810546875,0.062475585937500216,0.103515625,0.2158203125,0.181640625,0.248046875,False
02,63,1,True,0.6484375,0.638671875,0.5869140625,0.689453125,0.0400390625,0.0234375,0.05859375,0.638671875,0.5859375,0.6884765625,False
03,11,0,True,0.0390625,0.0517578125,0.0361328125,0.0693359375,0.060546875,0.037109375,0.0859375,0.048828125,0.0322265625,0.06640625,False
03,11,1,True,0.1015625,0.09375,0.068359375,0.126953125,0.0400390625,0.029296875,0.0517578125,0.09375,0.068359375,0.126953125,False
03,54,0,True,0.828125,0.662109375,0.51171875,0.771484375,0.02734375,0.0126953125,0.0478515625,0.662109375,0.5078125,0.7724609375,False
03,54,1,True,0.28125,0.2060546875,0.1787109375,0.234375,0.0126953125,0.005859375,0.021484375,0.2060546875,0.1787109375,0.234375,False
03,63,0,True,0.6484375,0.603515625,0.5234375,0.6669921875,0.033203125,0.015625,0.0576171875,0.603515625,0.5244140625,0.6669921875,False
03,63,1,True,0.21875,0.1953125,0.177734375,0.212890625,0.076171875,0.05859375,0.091796875,0.193359375,0.1748046875,0.2119140625,False
