cohort,role,implementation,candidate,selected,lag,c_value,mean_log_loss,fold_1_log_loss,fold_2_log_loss,fold_3_log_loss,fold_4_log_loss,fold_5_log_loss
codex_primary,primary,independent_test_1_codex,02,False,5,0.01,0.5371700016155561,0.5488815515167237,0.5980477814432205,0.5149618659814821,0.5550315573588465,0.46892725177750777
codex_primary,primary,independent_test_1_codex,02,False,5,0.1,0.5372616238938812,0.5491198540707551,0.5984033197709675,0.5149748976329619,0.5549985164954272,0.4688115314992942
codex_primary,primary,independent_test_1_codex,02,False,5,1.0,0.537271784550029,0.5491471970566988,0.5984441124088685,0.5149804431155058,0.5549855669810242,0.4688016031880479
codex_primary,primary,independent_test_1_codex,02,False,5,10.0,0.5372730756183126,0.5491499715623255,0.5984482451238118,0.5149810478803447,0.5549854849389183,0.46880062858616256
codex_primary,primary,independent_test_1_codex,02,False,10,0.01,0.5353719213071938,0.5509209949302535,0.5979049146995433,0.5109513238920786,0.5507437600586981,0.4663386129553953
codex_primary,primary,independent_test_1_codex,02,False,10,0.1,0.5355612681281336,0.5514101616820923,0.5985550608526801,0.5107877041236795,0.5507506509947163,0.4663027629875004
codex_primary,primary,independent_test_1_codex,02,False,10,1.0,0.5355889286895742,0.5514658479165616,0.5986430904200293,0.5107768247608935,0.5507561708168844,0.4663027095335019
codex_primary,primary,independent_test_1_codex,02,False,10,10.0,0.5355916266987284,0.5514714933010842,0.5986513505766514,0.5107757877025155,0.5507567743203754,0.4663027275930158
codex_primary,primary,independent_test_1_codex,02,True,20,0.01,0.5321012083744661,0.550576410028765,0.5889262113498762,0.5126835498934872,0.5500880944576455,0.4582317761425564
codex_primary,primary,independent_test_1_codex,02,False,20,0.1,0.5324918277176174,0.5514924835880985,0.5895332022159657,0.5127123279313673,0.5504526451809739,0.45826847967168144
codex_primary,primary,independent_test_1_codex,02,False,20,1.0,0.5325421485347951,0.5516170403946147,0.5896043750153397,0.5127107940823972,0.550497848879328,0.4582806843022958
codex_primary,primary,independent_test_1_codex,02,False,20,10.0,0.532547391828663,0.5516294936427815,0.5896121630964963,0.5127108086331305,0.5505025495129111,0.45828194425799523
codex_primary,primary,independent_test_1_codex,02,False,40,0.01,0.5332261668515949,0.5503853015996002,0.5891378105873137,0.5137800381375065,0.5520018895179922,0.46082579441556115
codex_primary,primary,independent_test_1_codex,02,False,40,0.1,0.5332761980654654,0.5533150525483864,0.5884016246294461,0.5135414922712707,0.5524823571884331,0.4586404636897907
codex_primary,primary,independent_test_1_codex,02,False,40,1.0,0.5348661178632639,0.5560563117884232,0.5883645992148263,0.515967279118975,0.5555651848950321,0.4583772142990626
codex_primary,primary,independent_test_1_codex,02,False,40,10.0,0.5352914823812551,0.5565452572937082,0.5884163954891563,0.5162359503086644,0.5565589356975951,0.4587008731171519
codex_primary,primary,independent_test_1_codex,02,False,100,0.01,0.536103500033221,0.5521861562454099,0.5917971043914514,0.5181405031946721,0.5560330859969362,0.4623606503376362
codex_primary,primary,independent_test_1_codex,02,False,100,0.1,0.5369063049409787,0.554043786857199,0.59221476779427,0.5186663126948083,0.5597428270398784,0.45986383031873784
codex_primary,primary,independent_test_1_codex,02,False,100,1.0,0.5403845743507086,0.5570188605905291,0.5944770430051832,0.5193962152422081,0.5712013562471456,0.45982939666847705
codex_primary,primary,independent_test_1_codex,02,False,100,10.0,0.5441952313079217,0.55873750160624,0.5976593077918277,0.5223316957644358,0.5800374947284304,0.4622101566486745
codex_primary,primary,independent_test_1_codex,03,False,5,0.01,0.5548964420005265,0.5565573316992176,0.5956550770292222,0.5484490157263125,0.5753024423430628,0.49851834320481686
codex_primary,primary,independent_test_1_codex,03,False,5,0.1,0.5549370703102039,0.5567252940570139,0.5958798210521168,0.5481789759539859,0.5753471270065663,0.4985541334813364
codex_primary,primary,independent_test_1_codex,03,False,5,1.0,0.5549442426274676,0.5567468221348242,0.5959064945807642,0.5481521715575325,0.5753563131146587,0.49855941174955776
