cohort,implementation,role,candidate,half,baseline,challenger,gain_nats,ci95_lower,ci95_upper,randomization_p_one_sided,matrices,branches,holm_p,cell_pass
codex_primary,independent_test_1_codex,primary,02,A,direct,composite,0.02918788896580237,0.023521702127955183,0.035103230137756083,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,02,A,markov,composite,0.11280320523695599,0.0888099190682156,0.13831898304898008,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,02,A,semimarkov,composite,0.08587915726952554,0.06911497982914391,0.10196232841203794,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,02,A,lagged,composite,0.01989998070648872,0.013989081320567994,0.025591483488963306,0.000244081034903588,200,32000,0.001952648279228704,True
codex_primary,independent_test_1_codex,primary,02,B,direct,composite,0.02893501950276086,0.02281667399719979,0.0349442154345357,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,02,B,markov,composite,0.11253606353526026,0.08865674369245234,0.13982798081540976,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,02,B,semimarkov,composite,0.08250015112354699,0.0666637166398574,0.09909656535623797,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,02,B,lagged,composite,0.01959596225028033,0.01354687221417856,0.025764700821960303,0.000244081034903588,200,32000,0.001952648279228704,True
codex_primary,independent_test_1_codex,primary,03,A,direct,composite,0.030869246813322596,0.022617627390329367,0.03892061711325035,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,03,A,markov,composite,0.1172983423706224,0.08801751340267992,0.14671072647169514,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,03,A,semimarkov,composite,0.08563884162987254,0.06678611213664506,0.10351050328054494,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,03,A,lagged,composite,0.02439797217674103,0.016594993256845922,0.03208720166169073,0.000244081034903588,200,32000,0.001952648279228704,True
codex_primary,independent_test_1_codex,primary,03,B,direct,composite,0.03327468732223722,0.02494113212196303,0.04197520924712133,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,03,B,markov,composite,0.11932066316281767,0.09045675079362012,0.14893808845085577,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,03,B,semimarkov,composite,0.08654579273259588,0.06718528584268678,0.10616649094405836,0.000244081034903588,200,32000,,False
codex_primary,independent_test_1_codex,primary,03,B,lagged,composite,0.02175205076004377,0.013781373477983987,0.02950112843137227,0.000244081034903588,200,32000,0.001952648279228704,True
fable_primary,independent_test_2_fable,primary,02,A,direct,composite,0.043554293514568604,0.037219147833875615,0.050070717735312235,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,02,A,markov,composite,0.1669027875306465,0.13948855914519032,0.19489703284407758,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,02,A,semimarkov,composite,0.11179385199746798,0.09516064992048957,0.13030542845904788,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,02,A,lagged,composite,0.029836147909435798,0.02446610454954558,0.035363615000972154,0.000244081034903588,200,32000,0.001952648279228704,True
fable_primary,independent_test_2_fable,primary,02,B,direct,composite,0.043261226639106795,0.03649158662704307,0.04999836676411667,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,02,B,markov,composite,0.1653652716583164,0.13719169525815836,0.19259391740513485,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,02,B,semimarkov,composite,0.11231905284822276,0.09550549960875813,0.12911714674663982,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,02,B,lagged,composite,0.027806125001900075,0.02188007342962994,0.03345897810878727,0.000244081034903588,200,32000,0.001952648279228704,True
fable_primary,independent_test_2_fable,primary,03,A,direct,composite,0.047692048798365694,0.04123970876794247,0.054342562986653846,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,03,A,markov,composite,0.17057209811715238,0.1424271638878558,0.20081034647681809,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,03,A,semimarkov,composite,0.11561850166959892,0.09881028885564512,0.13353230878927586,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,03,A,lagged,composite,0.03334828343903472,0.02713659796560157,0.04012078606664842,0.000244081034903588,200,32000,0.001952648279228704,True
fable_primary,independent_test_2_fable,primary,03,B,direct,composite,0.04748837297600682,0.04085975723296911,0.05460354891352621,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,03,B,markov,composite,0.16694385020809566,0.13805907833909264,0.19721188556721747,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,03,B,semimarkov,composite,0.1130666933484062,0.09584455172242765,0.13023239991046265,0.000244081034903588,200,32000,,False
fable_primary,independent_test_2_fable,primary,03,B,lagged,composite,0.03379524473655913,0.027738865366100297,0.04042413802148476,0.000244081034903588,200,32000,0.001952648279228704,True
codex_headline,independent_test_1_codex,secondary_headline,02,A,direct,composite,0.038850754481519596,0.02723201305653434,0.052004922543463374,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,02,A,markov,composite,0.10731747626465489,0.060431968808989364,0.15902119591015038,0.000244081034903588,40,6400,,False
