definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,states,branches,events,event_positive_matrices,prevalence,prevalence_ci95_lower,prevalence_ci95_upper,transition_region_states,branch_half_reliability,branch_half_reliability_ci95_lower,branch_half_reliability_ci95_upper,centered_branch_half_reliability,centered_branch_half_reliability_ci95_lower,centered_branch_half_reliability_ci95_upper,log_loss_baseline_A,log_loss_added_A,log_loss_gain_A,log_loss_gain_A_ci95_lower,log_loss_gain_A_ci95_upper,q_brier_gain_A,centered_spearman_baseline_A,centered_spearman_added_A,centered_spearman_gain_A,log_loss_baseline_B,log_loss_added_B,log_loss_gain_B,log_loss_gain_B_ci95_lower,log_loss_gain_B_ci95_upper,q_brier_gain_B,centered_spearman_baseline_B,centered_spearman_added_B,centered_spearman_gain_B
0,h0.85_f08_r2,0.85,8,2,False,02,1000,64000,5034,177,0.07865625,0.0660640625,0.09164257812500001,276,0.7621097515044031,0.7185234852728271,0.7985114835135823,0.501053251288741,0.4308277811067512,0.559053924212379,0.5042219449502048,0.4975897541421335,0.006632190808071259,-0.005238458276817013,0.020196190734909893,-0.0021036249641826488,0.2919577591152641,0.44237476972444156,0.15041701060917745,0.5042801906105915,0.4980982922053693,0.006181898405222208,-0.005427847650086179,0.01827238166314853,-0.0021956663582976266,0.25824057131040157,0.42033735133127587,0.1620967800208743
1,h0.85_f08_r3,0.85,8,3,False,02,1000,64000,4138,173,0.06465625,0.054499609375,0.07500195312499999,223,0.7385806439150829,0.6910677063954747,0.7802290310802189,0.512038106678515,0.4455854370215776,0.5766570389504515,0.5065063727070849,0.5004161975319421,0.006090175175142765,-0.006620164802885355,0.019124848313659543,-0.002499775995618597,0.30211038463492706,0.4691442094931556,0.16703382485822854,0.5069899423475018,0.5012601883757726,0.005729753971729257,-0.0079566765132978,0.018699614309195135,-0.002567904171656074,0.2812240265196544,0.4437142553193054,0.16249022879965103
2,h0.85_f08_r4,0.85,8,4,False,02,1000,64000,3187,170,0.049796875,0.04266796875,0.05757695312499999,167,0.6959034082284014,0.6486358112483673,0.7387528825992337,0.49121825862439805,0.4291010046417607,0.5462976969746898,0.5112446052891504,0.5066179934099124,0.004626611879237963,-0.010109743961758608,0.017100139308346134,-0.0033038620674546437,0.2961760793802956,0.4477492827734832,0.15157320339318758,0.5112370289559097,0.5063709025634133,0.004866126392496395,-0.009796453801431144,0.01798718959420503,-0.0030874329186811322,0.29710082334142884,0.45571594961365636,0.1586151262722275
3,h0.85_f10_r2,0.85,10,2,False,02,1000,64000,6557,179,0.102453125,0.088230859375,0.11958828124999997,357,0.793373591561481,0.7533970220383978,0.8235709675771523,0.4408070337072162,0.3755336072919002,0.5007422717176827,0.5030449624633276,0.4965425435412336,0.006502418922094022,-0.00580678779213513,0.01861034275546973,-0.0016571188217043842,0.24290557685483066,0.3940348496440604,0.15112927278922972,0.5015265052663108,0.49562739576271686,0.005899109503593958,-0.004288047714801568,0.01645271499896013,-0.0019486750509040973,0.253276224974645,0.38414338816937527,0.13086716319473024
4,h0.85_f10_r3,0.85,10,3,False,02,1000,64000,5708,177,0.0891875,0.077459765625,0.1027265625,315,0.7831989096458374,0.7389860219383315,0.8175533364546896,0.4684439704079924,0.40682088439240255,0.5274030691967823,0.5048553639968456,0.49804612343158267,0.006809240565262942,-0.0042696268564597645,0.01726664314492575,-0.0017397633049131833,0.2513268842621431,0.407077361620464,0.15575047735832087,0.5054662835968549,0.499313353452348,0.006152930144506852,-0.007270716205357003,0.01668042078159893,-0.002101538950788795,0.25844627005902665,0.39266801852598826,0.1342217484669616
5,h0.85_f10_r4,0.85,10,4,False,02,1000,64000,4756,177,0.0743125,0.062883203125,0.085929296875,264,0.7527734319501117,0.711551325502324,0.7909010874154949,0.4918553941883649,0.4333724974050056,0.5518912780578671,0.5078837410821989,0.5012400658600042,0.006643675222194667,-0.006843360937819823,0.019968459078086108,-0.002155677291829916,0.2911192110538857,0.44785340899243925,0.15673419793855353,0.5078078091852529,0.501729526759229,0.006078282426023929,-0.005571840759880764,0.018037378306030482,-0.002292227070548769,0.25244441553961544,0.41310776977309477,0.16066335423347933
6,h0.85_f12_r2,0.85,12,2,False,02,1000,64000,7939,179,0.124046875,0.10637500000000001,0.14233320312499997,431,0.8309735569566489,0.7980065889268336,0.8607557966270143,0.37295014044905817,0.3005056819810621,0.44141598114054864,0.5013070554529271,0.4945128706052176,0.006794184847709495,-0.002902581129608922,0.01774581132935219,-0.001293622728197788,0.26121165094333393,0.39900975455319526,0.13779810360986133,0.5008500174760757,0.49407074894189673,0.006779268534178984,-0.0028880746389922025,0.016988138101786007,-0.0013180526764308975,0.24319592979009577,0.37837827389271783,0.13518234410262206
7,h0.85_f12_r3,0.85,12,3,False,02,1000,64000,7186,179,0.11228125,0.09583984375,0.128773046875,388,0.8151985595566138,0.7767206357986352,0.8471156686594602,0.4144935051452076,0.3480322287717841,0.48392685188410545,0.5027939739670633,0.4962699056385549,0.006524068328508381,-0.003241534790461696,0.017501211578904094,-0.0015615118882257584,0.2702417532741413,0.41085984699033595,0.14061809371619466,0.5016564177112415,0.4955760714118966,0.0060803462993448965,-0.004958008617294377,0.01801757630613221,-0.0017313799202774427,0.2536160125152734,0.38370512103870175,0.13008910852342837
8,h0.85_f12_r4,0.85,12,4,False,02,1000,64000,6284,179,0.0981875,0.083634765625,0.11274218749999998,349,0.7913806731946108,0.755993718460734,0.8215429066848006,0.45120561402739673,0.38416276721578535,0.5174542249541548,0.5063402809148667,0.4996969523874228,0.006643328527443926,-0.004817760817437964,0.016534229635191525,-0.0016783910592263196,0.2443194248805817,0.39795944924841203,0.15364002436783034,0.5049011468181153,0.498889170989317,0.006011975828798255,-0.005328837587857088,0.017698847767233815,-0.001970489293494068,0.24619227600684807,0.3843851853761057,0.13819290936925765
9,h0.85_f16_r2,0.85,16,2,False,02,1000,64000,10521,179,0.164390625,0.140954296875,0.186612890625,530,0.8709895358892548,0.8436860753584927,0.8933534174916911,0.2978907884482033,0.22526400820221673,0.3720965533737806,0.5051422014127888,0.49656793771267194,0.008574263700116824,0.00036006480038155715,0.017063589661239702,7.736537319761455e-05,0.2393268141774054,0.3777203418889427,0.13839352771153732,0.5006997567763416,0.49391578650032386,0.006783970276017737,-0.002044888515372692,0.014589492259275165,-0.0007091864902265405,0.21553410554650013,0.3471267426097162,0.13159263706321608
10,h0.85_f16_r3,0.85,16,3,False,02,1000,64000,9801,179,0.153140625,0.13323359375000002,0.171778125,507,0.8531798692361912,0.8224682320844311,0.8773888721371806,0.3156603581514832,0.23234039052696298,0.3970798315847155,0.5046174946966838,0.49610657069554936,0.008510924001134457,-0.0011985292049212185,0.018532489696789115,-0.00019533725973758242,0.24405276103792597,0.38416583593132037,0.1401130748933944,0.5015712692591195,0.49485921894493956,0.006712050314179985,-0.003248501132647068,0.016094382822780258,-0.0008999811027443488,0.2329015516086606,0.35577812877313525,0.12287657716447464
11,h0.85_f16_r4,0.85,16,4,False,02,1000,64000,9008,179,0.14075,0.12311796875,0.16098632812500005,478,0.8397864293164655,0.801337625165633,0.8669143615005753,0.3147931115205823,0.2338644043419875,0.3916354723479056,0.5051355985867021,0.49722614690295563,0.00790945168374646,-0.0017597657885401754,0.018162214598626807,-0.0006006196898766109,0.2391723394504938,0.376749894134784,0.1375775546842902,0.5039507303168532,0.4973776230969995,0.006573107219853713,-0.0026833799777759527,0.01577803495865534,-0.0011504497016581045,0.22772882879535247,0.34589732001933293,0.11816849122398046
12,h0.88_f08_r2,0.88,8,2,False,02,1000,64000,12492,180,0.1951875,0.17196171875000002,0.21687734375,553,0.8990424646833891,0.879028956819802,0.9156537330524855,0.6793701364162934,0.6311821381881835,0.7269658145243396,0.5024659353494583,0.4837942808135419,0.01867165453591635,0.011700697486373778,0.02622560343393896,0.003989378829256887,0.3591496596454634,0.5606993425248434,0.20154968287938002,0.5027024378927217,0.484261270984183,0.018441166908538753,0.010869017693466914,0.02594339350131183,0.0041532882976188165,0.3369863053145722,0.5343910730558804,0.19740476774130822
13,h0.88_f08_r3,0.88,8,3,False,02,1000,64000,9906,180,0.15478125,0.13737812500000002,0.17166328125,495,0.8760349189538075,0.8526072843599147,0.8927732763964707,0.6716109939734176,0.6230917514607643,0.7190341270207339,0.5070804690309136,0.4901134271178021,0.016967041913111547,0.00850458937044476,0.02778379981064189,0.002792106063671307,0.3604545386292385,0.578486972406177,0.21803243377693848,0.5091111761714181,0.4913035787016552,0.017807597469762904,0.008537674403710198,0.027584327821792626,0.0031895503495335126,0.3421496986329838,0.5469830316840084,0.20483333305102464
14,h0.88_f08_r4,0.88,8,4,False,02,1000,64000,7328,179,0.1145,0.10173281249999998,0.12828828125,402,0.8382875037891085,0.8101340852900393,0.8636102049724623,0.6526954402083824,0.5894854689280915,0.7021612727791813,0.5136098146094263,0.4997935631907002,0.013816251418726166,0.002585065023613449,0.025736341502776188,0.0010033962729393414,0.3638659470860332,0.5801286112452975,0.21626266415926426,0.5138302263955854,0.4987204017588691,0.015109824636716285,0.004770039336055259,0.025797154615485873,0.0016245135027807278,0.32951886825332904,0.5422436927825853,0.21272482452925628
15,h0.88_f10_r2,0.88,10,2,False,02,1000,64000,15736,181,0.245875,0.21828632812499998,0.27088203125,641,0.9200272987486572,0.9030991192377262,0.9339047839788311,0.6545637246667961,0.5963117430597831,0.7063778096336234,0.5106581827209525,0.4916787228652253,0.018979459855727243,0.012534839842242178,0.025937033867329238,0.004983353346362178,0.33671457000342236,0.5392479550731941,0.20253338506977175,0.5091911006428361,0.4908872055587361,0.01830389508410002,0.011808094733682564,0.026010830485303584,0.004965355612906688,0.33915501382974644,0.5224362281699249,0.1832812143401784
16,h0.88_f10_r3,0.88,10,3,False,02,1000,64000,13382,180,0.20909375,0.18836953125,0.23245859375,585,0.9046449645688872,0.8869730754297777,0.9198235102673875,0.6620075820627217,0.6041988415099195,0.708733466659128,0.5113397915110632,0.49258523009838956,0.018754561412673676,0.010992638379061972,0.026605212102409424,0.004242102734996429,0.3420825554247666,0.5493002919914819,0.20721773656671527,0.5122259800456661,0.4942238952185747,0.018002084827091425,0.010691549218554853,0.025885597204975498,0.00423536185867069,0.3453831837075483,0.5337271561548259,0.18834397244727763
17,h0.88_f10_r4,0.88,10,4,False,02,1000,64000,10948,180,0.1710625,0.15328710937499998,0.19068085937499998,541,0.8821140223831484,0.8597840631080274,0.8997083605644771,0.6584509365551384,0.6068056473074176,0.708091898056351,0.5154313701209344,0.4977557632577385,0.017675606863195914,0.009529458828694456,0.02656720954843976,0.003154209887717141,0.36184786725965895,0.5617131240738817,0.1998652568142228,0.5162388646894814,0.49888158825380674,0.017357276435674696,0.008702849436930471,0.025865898767087947,0.0034120597008741108,0.33077319254331594,0.5319772623555225,0.2012040698122065
18,h0.88_f12_r2,0.88,12,2,False,02,1000,64000,18527,182,0.289484375,0.261334375,0.31904882812499996,691,0.9270927374560944,0.9058885141695118,0.9398130304593625,0.5734902837587562,0.5076214282423033,0.6380081625706352,0.5175498611881337,0.4990326962670072,0.01851716492112654,0.012380187434429396,0.024554909309416815,0.005301156746298507,0.3205438829327604,0.5000850371958862,0.17954115426312572,0.5173752067238799,0.49873017237659245,0.01864503434728748,0.011853067150884994,0.025008483950595746,0.005610002900785772,0.3157680567270085,0.49625800137624704,0.18048994464923857
