definition_index,definition_key,adjacent_and_pairwise_threshold_strict,strict_run_length,old_anchor_threshold_inclusive,horizon_fissions,registered_baseline,candidate,states,branches,events,event_positive_matrices,prevalence,prevalence_ci95_lower,prevalence_ci95_upper,transition_region_states,branch_half_reliability,branch_half_reliability_ci95_lower,branch_half_reliability_ci95_upper,centered_branch_half_reliability,centered_branch_half_reliability_ci95_lower,centered_branch_half_reliability_ci95_upper,log_loss_baseline_A,log_loss_added_A,log_loss_gain_A,log_loss_gain_A_ci95_lower,log_loss_gain_A_ci95_upper,q_brier_gain_A,centered_spearman_baseline_A,centered_spearman_added_A,centered_spearman_gain_A,log_loss_baseline_B,log_loss_added_B,log_loss_gain_B,log_loss_gain_B_ci95_lower,log_loss_gain_B_ci95_upper,q_brier_gain_B,centered_spearman_baseline_B,centered_spearman_added_B,centered_spearman_gain_B
0,h0.88_r7_a0.80,0.88,7,0.8,32,False,02,1000,128000,2981,163,0.0232890625,0.01885546875,0.0277328125,54,0.6686140502033663,0.6041000331477926,0.7251048832587345,0.17195277640615655,0.09439049716081187,0.2467428024069121,0.10664088734968259,0.1059793252690772,0.0006615620806053879,2.2521591303690734e-05,0.0013933146385522893,1.6545844874935175e-05,0.1308636918091032,0.09691099090765107,-0.03395270090145214,0.10993968026011852,0.10939254797348323,0.0005471322866352907,-5.5294866845205164e-05,0.0013524206874701095,1.9158951750515444e-05,0.10679524613670567,0.09356966835426227,-0.013225577782443404
1,h0.88_r7_a0.85,0.88,7,0.85,32,False,02,1000,128000,3078,163,0.024046875,0.019660546875000004,0.029285937499999998,60,0.6656888149710714,0.6025308751338984,0.7163868848987637,0.17904049974718414,0.09692740886247161,0.2510802837373806,0.10937091575157848,0.10868533947231658,0.0006855762792618986,7.23840849714101e-05,0.0014445394707329122,1.7730197208270636e-05,0.12824728553673084,0.09598149432339613,-0.03226579121333471,0.11294521540856485,0.11238247902638329,0.0005627363821815584,-4.861646704163378e-05,0.0013217842580242184,2.029520311491338e-05,0.11155251394226308,0.09125544584475952,-0.020297068097503562
2,h0.88_r7_a0.90,0.88,7,0.9,32,False,02,1000,128000,3182,165,0.024859375,0.0199421875,0.029662499999999998,65,0.6651327016634154,0.5982076722601345,0.7196503973331703,0.17585815935028348,0.10010861976591043,0.2566634635319633,0.11215544932449018,0.11146004142307447,0.0006954079014157011,5.7855077188623956e-05,0.0013730290371771427,1.935319993605811e-05,0.12750923284328178,0.09837486468566928,-0.0291343681576125,0.11624219212288636,0.11570500114609776,0.0005371909767886013,-0.0001090924675729063,0.0011220995474968008,1.9170556005839454e-05,0.108143773315141,0.08842603253368155,-0.01971774078145945
3,h0.88_r8_a0.80,0.88,8,0.8,32,False,02,1000,128000,1822,145,0.014234375,0.010880078125000001,0.017711914062499997,24,0.6007721305384498,0.5113521935699802,0.6689115940100513,0.13953167999804308,0.050750326114703426,0.23556768232335903,0.07284811779979126,0.0724819090426893,0.0003662087571019712,-0.00016551139230647338,0.0009488832524205313,-8.363119179703596e-06,0.0802064888102246,0.037913375339237367,-0.042293113470987236,0.07572471662727485,0.0754000459806274,0.00032467064664745693,-0.00016386666224148561,0.0008463077380984829,-7.98994411822622e-06,0.09851003756929425,0.07954199857563023,-0.01896803899366402
4,h0.88_r8_a0.85,0.88,8,0.85,32,False,02,1000,128000,1888,146,0.01475,0.0115884765625,0.018312695312499988,27,0.6047232398534776,0.527611890122886,0.6746175166166313,0.15464529094444002,0.06399824795187557,0.24970842175548,0.07487774509887841,0.07450178840203042,0.0003759566968479927,-0.00015961324239587572,0.0009810235846896994,-8.02154801080794e-06,0.07342950621796458,0.03361511993840436,-0.03981438627956022,0.07754006878603553,0.07723691965080716,0.0003031491352283727,-0.0001538233630994687,0.0007805421886060926,-8.772428423900079e-06,0.08969853951132327,0.06189692743288465,-0.02780161207843862
5,h0.88_r8_a0.90,0.88,8,0.9,32,False,02,1000,128000,1941,148,0.0151640625,0.011999023437499999,0.018885546875,31,0.6029115605278215,0.5199583629042946,0.6778766886297902,0.13728063810921298,0.037675130860740196,0.22703461917170795,0.07603705273412464,0.07564996376187756,0.00038708897224708216,-0.0001454458445223298,0.0009958944967007842,-6.3672527150907855e-06,0.06742926813426695,0.033367679907334157,-0.03406158822693279,0.07946839377459278,0.07917244206232642,0.00029595171226635963,-0.00016457042427768382,0.0008408218400288728,-8.997721142761238e-06,0.09198082739785979,0.06545536534915472,-0.026525462048705067
6,h0.88_r9_a0.80,0.88,9,0.8,32,False,02,1000,128000,1149,121,0.0089765625,0.0066673828125,0.011621679687499999,7,0.5648039836731801,0.4858025293257136,0.6431588601773427,0.17410982243857234,0.09078339695021806,0.2663890591367892,0.05418920561250051,0.05394391413365211,0.0002452914788484001,-0.00021334131311399833,0.000801247146075316,-2.463306679477634e-05,0.04932417589383686,0.045082174705902846,-0.004242001187934011,0.05511836194659175,0.05497620713106023,0.00014215481553151582,-0.00027627696975665654,0.0005594610726857105,-2.5101674355258296e-05,0.07230145292619286,0.07131066025510277,-0.0009907926710900905
7,h0.88_r9_a0.85,0.88,9,0.85,32,False,02,1000,128000,1198,124,0.009359375,0.00690703125,0.012157226562499998,10,0.5622186943141951,0.4747138171289635,0.6413461964354868,0.18245906226860703,0.09567367353840024,0.2740072490762098,0.05587722159237376,0.05563281982176803,0.00024440177060573026,-0.0002202975764734055,0.0007523863089525713,-2.4369374961262448e-05,0.05438050639595853,0.04663611324702717,-0.0077443931489313625,0.05626443599307222,0.05613119361786164,0.00013324237521058352,-0.0002786727156475462,0.00061541828909495,-2.592213012215486e-05,0.07247658242985602,0.06178845135803902,-0.010688131071817
8,h0.88_r9_a0.90,0.88,9,0.9,32,False,02,1000,128000,1231,125,0.0096171875,0.0074294921875,0.012235351562499998,13,0.5558075757049046,0.4631418359535592,0.628991145999828,0.15721332996982293,0.062278548982381554,0.24692665910119793,0.05650700559692272,0.056271097679631864,0.00023590791729085486,-0.00019033323951871042,0.000761424072507757,-2.4849401278515047e-05,0.05604282241827052,0.04447169177674517,-0.011571130641525353,0.05757971943297341,0.05745571357303419,0.00012400585993922048,-0.00030090996233050356,0.0005454364214794088,-2.587652658389821e-05,0.06129051273586644,0.05103339827883988,-0.01025711445702656
9,h0.90_r7_a0.80,0.9,7,0.8,32,False,02,1000,128000,3625,162,0.0283203125,0.022078906250000006,0.034573828125,89,0.6785177466801391,0.6037631064948472,0.7434030801043843,0.20301973293513242,0.10808754054062583,0.285432753674819,0.12846384795561186,0.127672098965858,0.000791748989753871,9.322485870663647e-06,0.0017303778368456327,3.0681178024102255e-05,0.1525951890561225,0.10794860972860718,-0.04464657932751531,0.12455696129920278,0.12406032893930269,0.0004966323599000927,-0.00016474043824028298,0.0012059048157844893,1.7708341503287848e-05,0.08273833447730705,0.05546138302662576,-0.02727695145068129
10,h0.90_r7_a0.85,0.9,7,0.85,32,False,02,1000,128000,3802,163,0.029703125,0.023466992187499997,0.0356181640625,92,0.6742568492140606,0.6006378084530587,0.7381565993809136,0.19761130768697252,0.12557131423891213,0.27703890837307693,0.1329401604243422,0.13210541508083196,0.0008347453435102459,0.00010693229236926964,0.0017139160943089634,3.359226779032663e-05,0.14593500084943614,0.10273175747038106,-0.04320324337905508,0.1304710448050553,0.1299388370275482,0.000532207777507121,-0.00016099177656240144,0.0013240114916542886,1.991519612380352e-05,0.07736549532656292,0.05584167167778642,-0.021523823648776502
11,h0.90_r7_a0.90,0.9,7,0.9,32,False,02,1000,128000,3949,165,0.0308515625,0.0241744140625,0.03746875,97,0.665155517776626,0.5843287472226243,0.7326117060080687,0.1766032257592333,0.09298361330346108,0.25706787722259866,0.13712259692002346,0.13633841348288658,0.0007841834371368761,5.50855696586576e-05,0.0016720317171598632,3.3524977799232695e-05,0.14578902603408783,0.09744813282796143,-0.048340893206126404,0.1349236760971181,0.1343637034914261,0.0005599726056920162,-9.811612918275738e-05,0.0013624314529574165,2.268492982361505e-05,0.06423698983800953,0.050244506475458674,-0.013992483362550857
12,h0.90_r8_a0.80,0.9,8,0.8,32,False,02,1000,128000,2237,139,0.0174765625,0.0138341796875,0.022061718750000004,43,0.6308967022282775,0.5473937336258641,0.7052550070635569,0.19980801553457953,0.09124298412452732,0.29261798876914424,0.08727217846273091,0.08676621655092544,0.0005059619118054776,-8.460381931916436e-05,0.0011034064133840795,4.964900893284982e-07,0.06959991894576392,0.03302426265073084,-0.03657565629503308,0.08461943339571261,0.08435338351045334,0.000266049885259273,-0.0002556032790348876,0.0007500799453511357,-1.0583887738564073e-05,0.07274551170226425,0.04530366975279125,-0.027441841949472995
13,h0.90_r8_a0.85,0.9,8,0.85,32,True,02,1000,128000,2354,140,0.018390625,0.013761914062499998,0.023882031249999998,49,0.6241203648255332,0.5312958184389548,0.7001881264665659,0.2206760176851941,0.12011346750383103,0.32334771506072657,0.09054588003821964,0.09002120956942197,0.0005246704687976722,-6.036886265720562e-05,0.0011754599630881574,1.6877856473173844e-06,0.06818082180886438,0.026948826016877085,-0.041231995791987296,0.08815109587923868,0.08786735086888359,0.0002837450103550937,-0.00020783169339967064,0.000825181933812307,-8.911410880227313e-06,0.05550831161269882,0.03156523163788912,-0.023943079974809697
14,h0.90_r8_a0.90,0.9,8,0.9,32,False,02,1000,128000,2450,144,0.019140625,0.014887890624999999,0.024189257812499997,52,0.6089397622222412,0.5094192101250717,0.6840532697021517,0.22409852512833464,0.12299316600968359,0.3204049364291416,0.09306580752389373,0.09255641783490995,0.0005093896889837857,-5.71447569302462e-05,0.001195246341215653,1.6519041029857025e-06,0.06025436994092555,0.019401549776717233,-0.04085282016420831,0.09128988139012699,0.09098157177303447,0.0003083096170925226,-0.00019766171696342997,0.0008047447927754753,-6.079618403088049e-06,0.04632701149893252,0.022046483726547366,-0.024280527772385155
15,h0.90_r9_a0.80,0.9,9,0.8,32,False,02,1000,128000,1420,113,0.01109375,0.0080029296875,0.014604296874999997,18,0.6206287106930747,0.5340610056005023,0.6988830797472375,0.1398322785872689,0.03818057053524609,0.23517738902191715,0.06285026717380138,0.06255826648695305,0.0002920006868483288,-0.00022068563395973554,0.000978926695476203,-2.256649638726529e-05,0.07849158759076151,0.04706528857498759,-0.03142629901577392,0.06180966952591006,0.061718243092936206,9.142643297385677e-05,-0.000365220300168303,0.00063699337100975,-2.62201577903823e-05,0.042107277177060934,0.038154442971244346,-0.003952834205816588
