definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline
0,h0.85_f08_r2,0.85,8,2,False
1,h0.85_f08_r3,0.85,8,3,False
2,h0.85_f08_r4,0.85,8,4,False
3,h0.85_f10_r2,0.85,10,2,False
4,h0.85_f10_r3,0.85,10,3,False
5,h0.85_f10_r4,0.85,10,4,False
6,h0.85_f12_r2,0.85,12,2,False
7,h0.85_f12_r3,0.85,12,3,False
8,h0.85_f12_r4,0.85,12,4,False
9,h0.85_f16_r2,0.85,16,2,False
10,h0.85_f16_r3,0.85,16,3,False
11,h0.85_f16_r4,0.85,16,4,False
12,h0.88_f08_r2,0.88,8,2,False
13,h0.88_f08_r3,0.88,8,3,False
14,h0.88_f08_r4,0.88,8,4,False
15,h0.88_f10_r2,0.88,10,2,False
16,h0.88_f10_r3,0.88,10,3,False
17,h0.88_f10_r4,0.88,10,4,False
18,h0.88_f12_r2,0.88,12,2,False
19,h0.88_f12_r3,0.88,12,3,False
20,h0.88_f12_r4,0.88,12,4,False
21,h0.88_f16_r2,0.88,16,2,False
22,h0.88_f16_r3,0.88,16,3,False
23,h0.88_f16_r4,0.88,16,4,False
24,h0.90_f08_r2,0.9,8,2,False
25,h0.90_f08_r3,0.9,8,3,False
26,h0.90_f08_r4,0.9,8,4,False
27,h0.90_f10_r2,0.9,10,2,False
28,h0.90_f10_r3,0.9,10,3,False
29,h0.90_f10_r4,0.9,10,4,False
30,h0.90_f12_r2,0.9,12,2,False
31,h0.90_f12_r3,0.9,12,3,True
32,h0.90_f12_r4,0.9,12,4,False
33,h0.90_f16_r2,0.9,16,2,False
34,h0.90_f16_r3,0.9,16,3,False
35,h0.90_f16_r4,0.9,16,4,False
36,h0.92_f08_r2,0.92,8,2,False
37,h0.92_f08_r3,0.92,8,3,False
38,h0.92_f08_r4,0.92,8,4,False
39,h0.92_f10_r2,0.92,10,2,False
40,h0.92_f10_r3,0.92,10,3,False
41,h0.92_f10_r4,0.92,10,4,False
42,h0.92_f12_r2,0.92,12,2,False
43,h0.92_f12_r3,0.92,12,3,False
44,h0.92_f12_r4,0.92,12,4,False
45,h0.92_f16_r2,0.92,16,2,False
46,h0.92_f16_r3,0.92,16,3,False
47,h0.92_f16_r4,0.92,16,4,False
48,h0.95_f08_r2,0.95,8,2,False
49,h0.95_f08_r3,0.95,8,3,False
50,h0.95_f08_r4,0.95,8,4,False
51,h0.95_f10_r2,0.95,10,2,False
52,h0.95_f10_r3,0.95,10,3,False
53,h0.95_f10_r4,0.95,10,4,False
54,h0.95_f12_r2,0.95,12,2,False
55,h0.95_f12_r3,0.95,12,3,False
56,h0.95_f12_r4,0.95,12,4,False
57,h0.95_f16_r2,0.95,16,2,False
58,h0.95_f16_r3,0.95,16,3,False
59,h0.95_f16_r4,0.95,16,4,False
