definition_index,definition_key,adjacent_and_pairwise_threshold_strict,strict_run_length,old_anchor_threshold_inclusive,horizon_fissions,registered_baseline
0,h0.88_r7_a0.80,0.88,7,0.8,32,False
1,h0.88_r7_a0.85,0.88,7,0.85,32,False
2,h0.88_r7_a0.90,0.88,7,0.9,32,False
3,h0.88_r8_a0.80,0.88,8,0.8,32,False
4,h0.88_r8_a0.85,0.88,8,0.85,32,False
5,h0.88_r8_a0.90,0.88,8,0.9,32,False
6,h0.88_r9_a0.80,0.88,9,0.8,32,False
7,h0.88_r9_a0.85,0.88,9,0.85,32,False
8,h0.88_r9_a0.90,0.88,9,0.9,32,False
9,h0.90_r7_a0.80,0.9,7,0.8,32,False
10,h0.90_r7_a0.85,0.9,7,0.85,32,False
11,h0.90_r7_a0.90,0.9,7,0.9,32,False
12,h0.90_r8_a0.80,0.9,8,0.8,32,False
13,h0.90_r8_a0.85,0.9,8,0.85,32,True
14,h0.90_r8_a0.90,0.9,8,0.9,32,False
15,h0.90_r9_a0.80,0.9,9,0.8,32,False
16,h0.90_r9_a0.85,0.9,9,0.85,32,False
17,h0.90_r9_a0.90,0.9,9,0.9,32,False
18,h0.92_r7_a0.80,0.92,7,0.8,32,False
19,h0.92_r7_a0.85,0.92,7,0.85,32,False
20,h0.92_r7_a0.90,0.92,7,0.9,32,False
21,h0.92_r8_a0.80,0.92,8,0.8,32,False
22,h0.92_r8_a0.85,0.92,8,0.85,32,False
23,h0.92_r8_a0.90,0.92,8,0.9,32,False
24,h0.92_r9_a0.80,0.92,9,0.8,32,False
25,h0.92_r9_a0.85,0.92,9,0.85,32,False
26,h0.92_r9_a0.90,0.92,9,0.9,32,False
